district,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Baksa,171,98.7,30112,381808.75
Barpeta,536,390.16,30317,8522.91
Biswanath,138,189.66,14303,3124.56
Bongaigaon,1415,1008.54,9276,2479.68
Cachar,216,134.74,6331,2107.31
Charaideo,123,84.68,5872,1153.27
Chirang,106,86.72,4503,778.3
Darrang,534,294.53,14910,4098.24
Dhemaji,222,161.7,17406,4071.88
Dhubri,43,56.49,5349,1069.14
Dibrugarh,309,295.29,37022,8815.24
Dima Hasao,45,59.9,398,298.92
Goalpara,93,176.33,13764,4059.88
Golaghat,427,502.77,33395,8050.63
Hailakandi,60,68.1,1537,356.38
Hojai,35,48.23,9094,2148.03
Jorhat,498,502.98,54934,12068.44
Kamrup Metro,5543,1814.59,65972,15006.89
Karbi Anglong,523,740.56,9853,2758.43
Karimganj,172,184.34,5804,2019.82
Kokrajhar,154,146.42,401,279.12
Lakhimpur,349,368.75,32404,9387.58
Majuli,372,151.14,3582,623.63
Morigaon,72,93.9,9048,2717.4
Nagaon,994,1046,43534,11470.32
Nalbari,480,249.01,27531,6420.51
Sivasagar,430,428.74,21959,6280.47
Sonitpur,938,524.77,28177,6187.01
South Salmara,15,22.5,21,25.25
Tinsukia,807,392.14,21317,4891.89
Udalguri,40,32.88,10918,2282.08
West Karbi Anglong,143,198.5,1424,579.53
