district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,19425,9662.99,21954,10851.63,244,95.48,2373,1390.22,43996,22000.32
Barpeta,49553,29656.68,70965,28227.72,887,584.2,4815,4239.03,126220,62707.63
Biswanath,27159,15344.67,25691,12824.41,503,427.08,3189,4562.14,56542,33158.3
Bongaigaon,12642,6108.61,21010,9695.19,363,223.15,1773,2135.87,35788,18162.82
Cachar,48576,28210.03,49156,22502.29,1394,2036.86,8114,10763.34,107240,63512.52
Charaideo,10710,5876.4,11141,5680.22,151,135.67,1353,1081.74,23355,12774.03
Chirang,19425,10446.52,10038,6206.31,1835,801.22,1720,1186.75,33018,18640.8
Darrang,34178,18532.75,44529,19744.81,382,270.69,3031,3294.71,82120,41842.96
Dhemaji,25042,14408.46,15814,7684.82,213,314.75,3517,2485.37,44586,24893.4
Dhubri,30051,15323.77,36123,18003.06,6193,3182.83,5214,3264.01,77581,39773.67
Dibrugarh,69036,41439.97,64992,27136.33,1150,904.58,8024,24950.74,143202,94431.62
Dima Hasao,1878,588.7,1163,959.35,13,15.54,134,167.85,3188,1731.44
Goalpara,27272,12399.78,25383,13072.81,757,397.01,1961,2090.41,55373,27960.01
Golaghat,55732,30070.92,84182,32775.18,3376,1698.93,5010,10593.5,148300,75138.53
Hailakandi,18116,9014.4,9477,4593.11,275,328.7,1381,2011.84,29249,15948.05
Hojai,21793,11218.21,21774,10224.1,3127,1815.3,3895,3595.57,50589,26853.18
Jorhat,42116,22655.12,69064,24445.03,3640,1797.61,4648,27368.57,119468,76266.33
Kamrup Metro,66984,36891.34,70770,29718.81,871,687.91,5388,5490.16,144013,72788.22
Karbi Anglong,30274,13291.64,12267,5600.52,25,28.78,1690,666.37,44256,19587.31
Karimganj,25372,15436.81,32370,14784.56,718,850.49,5625,6589.91,64085,37661.77
Kokrajhar,23817,12756.11,10747,5805,4329,1858.81,1211,585.79,40104,21005.71
Lakhimpur,55004,33667.24,50995,19801.65,794,693.55,7852,5860.61,114645,60023.05
Majuli,5134,2472.64,3292,1780.19,26,26.46,395,342.9,8847,4622.19
Morigaon,38650,23105.88,47675,22063.33,2324,1485.44,5303,5935.62,93952,52590.27
Nagaon,80017,43682,122421,48824.78,4117,2836.65,12297,10829.97,218852,106173.4
Nalbari,28890,13657.33,51025,19238.56,426,288.02,2764,3547.5,83105,36731.41
Sivasagar,25051,12963.38,59578,22218.29,379,365.35,5886,5730.46,90894,41277.48
Sonitpur,30769,19227,65570,30647.05,2016,945.69,5684,6289.84,104039,57109.58
South Salmara,2613,987.61,772,1101.76,0,0,0,0,3385,2089.37
Tinsukia,48191,34233.44,39217,18423.91,748,4413.35,5240,54670.72,93396,111741.42
Udalguri,34458,20524.55,21659,10217.28,237,80.12,2037,929.86,58391,31751.81
West Karbi Anglong,10858,3945.71,2824,1574.03,1,0,83,13.85,13766,5533.59
