district,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,0,0,0,0,0,0,0,0,4,26.33,53,136.66,183,412.56,240,575.55
Barpeta,0,0,0,0,0,0,1,2.45,34,217.13,312,931.61,1824,5758.86,2171,6910.05
Biswanath,0,0,0,0,0,0,0,0,9,45.37,99,287.58,385,979.03,493,1311.98
Bongaigaon,0,0,0,0,0,0,0,0,53,425.63,252,691.31,1635,6385.07,1940,7502.01
Cachar,0,0,3,0.55,0,0,0,0,56,263.49,522,1348.64,6970,17766.6,7551,19379.28
Charaideo,0,0,0,0,0,0,0,0,1,6.02,18,45.94,594,571.59,613,623.55
Chirang,0,0,0,0,0,0,0,0,5,24.27,38,100.31,514,1341.19,557,1465.77
Darrang,0,0,0,0,0,0,0,0,43,192.28,257,581.12,1122,2654.36,1422,3427.76
Dhemaji,0,0,0,0,0,0,0,0,9,67.54,158,690.15,651,2368.29,818,3125.98
Dhubri,0,0,0,0,0,0,0,0,53,136.51,161,436.58,1053,2813.01,1267,3386.1
Dibrugarh,0,0,3,5.83,0,0,0,0,123,885.33,902,2721.31,6290,12407.32,7318,16019.79
Dima Hasao,0,0,0,0,0,0,0,0,1,8.5,70,163.12,234,680.28,305,851.9
Goalpara,0,0,0,0,0,0,0,0,18,72.64,118,348.74,638,1971.75,774,2393.13
Golaghat,0,0,0,0,0,0,0,0,15,84.49,349,939.96,1674,3861.27,2038,4885.72
Hailakandi,0,0,0,0,0,0,0,0,0,0,80,176.62,1017,2370.62,1097,2547.24
Hojai,0,0,0,0,0,0,0,0,13,56.65,208,589.21,558,1889.24,779,2535.1
Jorhat,0,0,0,0,0,0,0,0,80,657.53,642,1794.3,4435,10280.67,5157,12732.5
Kamrup Metro,0,0,0,0,0,0,2,28.2,54,392.79,879,3135.64,2912,9105.23,3847,12661.86
Karbi Anglong,0,0,0,0,0,0,0,0,8,48.76,144,295.35,510,1705.48,662,2049.59
Karimganj,0,0,0,0,0,0,0,0,11,74.99,145,396.64,906,2437.71,1062,2909.34
Kokrajhar,0,0,0,0,0,0,0,0,14,114.71,132,697.33,778,1962.71,924,2774.75
Lakhimpur,0,0,0,0,0,0,0,0,29,194.27,317,750.2,1497,5098.27,1843,6042.74
Majuli,0,0,0,0,0,0,0,0,0,0,63,144.65,65,140.48,128,285.13
Morigaon,0,0,0,0,0,0,0,0,16,72.46,245,663.19,504,3192.97,765,3928.62
Nagaon,0,0,1,0.45,0,0,0,0,50,283.13,346,958.02,3275,7812.68,3672,9054.28
Nalbari,0,0,0,0,0,0,0,0,34,173.7,240,791.73,1326,3331.29,1600,4296.72
Sivasagar,0,0,0,0,0,0,0,0,29,344.25,514,2015,4690,7176.63,5233,9535.88
Sonitpur,0,0,2,0.48,0,0,0,0,75,340.14,496,1325.25,4879,10915.07,5452,12580.94
South Salmara,0,0,0,0,0,0,0,0,1,0.04,2,6.86,64,356.45,67,363.35
Tinsukia,0,0,0,0,0,0,0,0,47,620.2,603,1615.17,4427,18643.03,5077,20878.4
Udalguri,0,0,0,0,0,0,2,0.5,3,17.62,65,148.54,426,1559.71,496,1726.37
West Karbi Anglong,0,0,0,0,0,0,0,0,0,0,21,25.01,45,131.12,66,156.13
