District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Baksa,0,0,65,171.81,1364,11443.28,1,37.96,94,28.41,267,433.01,1791,12114.47
Barpeta,0,0,382,1125.88,3213,29642.91,551,763.71,534,262.08,2186,1630.28,6866,33424.86
Biswanath,0,0,136,369.72,1613,14228.43,550,67.45,0,0,403,2418.61,2702,17084.21
Bongaigaon,0,0,121,414.89,2149,19067.47,3806,931.26,124,59.8,5613,2654.24,11813,23127.66
Cachar,0,0,1015,2860.53,4020,26550.23,38,10.33,15,4.67,6333,3897.71,11421,33323.47
Charaideo,0,0,71,208.04,418,3535.16,2102,149.66,70,26.55,203,1947.38,2864,5866.79
Chirang,0,0,68,221.14,758,7741.62,63,17.95,149,83.28,382,287.55,1420,8351.54
Darrang,0,0,323,879.16,1655,13947.37,1829,312.87,59,30.45,540,1389.04,4406,16558.89
Dhemaji,0,0,150,356.37,1770,16363.43,699,118.07,29,8.21,241,392.11,2889,17238.19
Dhubri,0,0,180,553.98,2161,18587.01,4,15.61,231,127.78,661,988.4,3237,20272.78
Dibrugarh,0,0,860,2690.08,5227,47405.72,7366,790.15,23,8.45,5865,6996.86,19341,57891.26
Dima Hasao,0,0,22,62.62,815,4462.58,2,0.99,0,0,39,95.05,878,4621.24
Goalpara,0,0,123,452.3,1007,9176.53,1,0.06,492,324.35,4028,1809.62,5651,11762.86
Golaghat,0,0,315,908.16,2623,22026.18,2069,276.09,7,2,6836,3263.6,11850,26476.03
Hailakandi,0,0,93,196.43,1024,7381.27,1,3.84,26,13.42,194,607.92,1338,8202.88
Hojai,0,0,128,370.63,972,8310,3,19.86,0,0,1099,12583.34,2202,21283.83
Jorhat,0,0,704,2296.24,4860,40508.64,5691,1342.2,0,0,11456,5735.06,22711,49882.14
Kamrup Metro,0,0,1089,3275.05,4547,37654.61,8687,1853.41,23,9.57,33097,8707.65,47443,51500.29
Karbi Anglong,0,0,109,276.48,2606,23651.17,2,3.75,1,0.08,1217,653.9,3935,24585.38
Karimganj,0,0,101,282.26,1257,7098.86,3,14.9,15,2.93,3516,6391.8,4892,13790.75
Kokrajhar,0,0,90,262.88,1248,12160.19,15,11.33,58,41.53,272,727.83,1683,13203.76
Lakhimpur,0,0,293,775.97,3573,29315.38,1731,226.93,115,48.62,1145,7883.59,6857,38250.49
Majuli,0,0,39,72.36,283,1896.7,1224,159.97,0,0,406,6604.68,1952,8733.71
Morigaon,0,0,119,356.92,1696,11977.84,3,3.34,30,12.37,827,13725.28,2675,26075.75
Nagaon,0,0,323,1056.31,4353,34803.34,1285,174.51,3,2.14,14759,12265.57,20723,48301.87
Nalbari,0,0,320,991.59,2976,23322.43,1733,250.38,7,3.53,6599,3794.45,11635,28362.38
Sivasagar,0,0,297,760.09,2944,23916.51,1610,246.29,20,7.83,5330,5029.62,10201,29960.34
Sonitpur,0,0,442,1279.9,3943,32599.97,3217,499.5,5,3.51,5975,11485.79,13582,45868.67
South Salmara,0,0,17,50.04,148,1572.28,0,0,9,6.42,6,10.2,180,1638.94
Tinsukia,0,0,549,1704.66,3210,28134.36,6069,630.48,27,7.22,1292,5566.57,11147,36043.29
Udalguri,0,0,209,505.37,1668,16827.38,19,5.18,0,0,331,247.07,2227,17585
West Karbi Anglong,0,0,19,45.33,654,6543.94,0,0,9,0.78,15,4.02,697,6594.07
