district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,788125,57965,40637
Barpeta,2215572,136731,151106
Biswanath,677752,34397,64611
Bongaigaon,734437,36157,94968
Cachar,1891436,97925,533962
Charaideo,392083,6989,35351
Chirang,597884,27676,46252
Darrang,1288303,71093,136234
Dhemaji,1000103,39289,140173
Dhubri,1944688,82142,306114
Dibrugarh,1597126,79627,288093
Dima Hasao,196859,29175,57159
Goalpara,1110684,64817,102657
Golaghat,1365390,92078,331182
Hailakandi,774400,44622,204533
Hojai,852291,74272,201336
Jorhat,1262130,63464,368155
Kamrup Metro,1891190,117328,154328
Karbi Anglong,603431,77208,72929
Karimganj,1234145,75943,371921
Kokrajhar,937469,50608,62501
Lakhimpur,1237855,68019,259221
Majuli,169133,10440,26143
Morigaon,1245745,79455,471292
Nagaon,2689201,360868,729393
Nalbari,947832,79593,87353
Sivasagar,1004407,42097,288328
Sonitpur,1445225,150374,214265
South Salmara,294807,23336,25426
Tinsukia,1391031,78084,380885
Udalguri,914852,41693,44827
West Karbi Anglong,213817,11764,11471
