district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,37,8.99,77,98.97,8,41.46,122,149.42
Barpeta,336,82.15,852,905.23,88,456.05,1276,1443.43
Biswanath,58,17.36,286,286.79,23,95.81,367,399.96
Bongaigaon,120,32.08,482,506.08,45,247.58,647,785.74
Cachar,400,135.11,2254,2067.19,73,452.15,2727,2654.45
Charaideo,53,14.29,96,100.61,19,101.67,168,216.57
Chirang,29,9.13,124,127.71,16,60.36,169,197.2
Darrang,210,30.71,501,523.01,38,163.76,749,717.48
Dhemaji,99,33.2,224,240.75,23,112.31,346,386.26
Dhubri,240,70.26,881,801.75,38,228.86,1159,1100.87
Dibrugarh,539,94.24,670,785.6,157,706.76,1366,1586.6
Dima Hasao,35,9.39,31,41.72,8,21.57,74,72.68
Goalpara,216,45.75,210,234.99,24,146.62,450,427.36
Golaghat,348,86.66,455,435.61,58,322.59,861,844.86
Hailakandi,249,85.01,1119,1063.66,21,63.86,1389,1212.53
Hojai,75,23.89,157,200.77,59,350.09,291,574.75
Jorhat,365,95.32,580,697.03,101,529.33,1046,1321.68
KARIMGANJ,876,241.39,2688,2448.23,47,248.17,3611,2937.79
Kamrup,1138,221.37,985,977.5,59,325.08,2182,1523.95
Kamrup Metro,501,160.29,914,1293.23,306,1628.59,1721,3082.11
Karbi Anglong,100,28.28,61,89.9,38,152.66,199,270.84
Kokrajhar,37,9.7,143,139.69,11,59.99,191,209.38
Lakhimpur,201,44.75,513,429.8,98,352.89,812,827.44
Majuli,15,5.52,21,25.5,8,52.56,44,83.58
Morigaon,72,27,311,407.02,30,123.74,413,557.76
Nagaon,638,115.56,625,731.5,98,505.67,1361,1352.73
Nalbari,171,40.94,305,351.63,28,114.06,504,506.63
Sivasagar,203,56.05,560,500.56,54,225.13,817,781.74
Sonitpur,339,75.77,954,877.08,109,560.47,1402,1513.32
South Salmara,0,0,57,28.22,10,78.25,67,106.47
Tinsukia,256,58.59,799,756.2,184,882.58,1239,1697.37
Udalguri,127,4.81,206,182.25,23,123.74,356,310.8
West Karbi Anglong,26,6.42,3,7,4,25.11,33,38.53
