District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card Activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total No. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card Activated
Baksa,603,266.1,18814,9309.76,7690,3112,7,2.6,112,213.34,25,20,1,0.22,24,43.61,12,12
Barpeta,1592,919.7,60716,31960.25,24335,13341,29,23.74,367,568.12,38,21,51,108.31,322,445.56,8,4
Biswanath,849,577.87,22009,12527.58,9735,4258,14,14.69,195,268.67,25,19,1,2.09,10,16.97,2,2
Bongaigaon,223,161.34,13823,5861.85,6327,3805,8,6.62,190,232.27,0,0,38,54.64,172,145.98,0,0
Cachar,853,566.12,47876,28356.13,26778,21436,33,31.39,1512,2059.61,9,6,56,81.19,430,381.5,62,44
Charaideo,56,36.74,9885,5648.7,5881,2341,5,6.2,200,296.29,0,0,11,24.36,74,68.18,3,3
Chirang,313,215.42,18234,9980.62,10654,6237,6,7.98,121,169.52,2,1,10,11.24,16,60.65,1,1
Darrang,787,541.04,38167,19384.93,17856,9159,33,17.45,298,375.51,5,4,117,120.94,516,405.32,14,10
Dhemaji,468,418.26,24674,14385.73,12750,6280,18,10.75,409,477.6,20,15,6,10.33,79,111.09,8,4
Dhubri,237,196.21,28854,15538.64,15405,10231,6,7.15,534,755.38,17,12,14,152.22,38,308.01,0,0
Dibrugarh,1675,1126.38,74258,41586.3,33952,22505,24,22.75,758,1049.91,70,6,26,42.27,132,158.2,2,4
Dima Hasao,45,23.38,1915,680.47,804,787,4,3.45,57,53.36,27,27,0,0,4,2.36,2,2
Goalpara,594,420.47,25433,12353.9,15311,8146,7,6.8,402,470.96,5,5,63,103.28,438,341.24,1,0
Golaghat,1833,1664.66,59965,30585.46,26972,17347,25,26.88,529,775.42,11,7,15,27.1,39,48.47,4,3
Hailakandi,419,162,17949,9191.19,10280,5980,12,15.97,394,514.16,3,2,6,14.26,30,53.11,0,0
Hojai,547,335.76,20751,11227.99,12493,9279,20,24.06,437,784.52,0,0,11,26.98,36,143.43,0,0
Jorhat,871,656.54,44738,21963.67,23464,17912,29,48.64,683,855.32,26,20,28,41.03,175,130.3,5,4
Kamrup Metro,1547,934.56,75046,38118.57,38289,23986,27,30.83,611,989.74,19,9,46,53.05,261,327.22,9,2
Karbi Anglong,1353,811.97,27306,12966.37,3423,2640,9,5.7,98,124.39,3,2,4,0,40,22.9,1,1
Karimganj,328,240,28087,15861.02,15681,13602,24,24.76,1146,1521.62,4,0,27,43.71,180,273.72,14,11
Kokrajhar,450,593.83,23636,13275.75,10246,3548,3,2.45,153,180.79,0,0,9,11.29,61,40.94,0,0
Lakhimpur,1645,966.96,59963,33897.38,24056,12946,37,41.77,966,1302.01,35,27,64,63.97,259,444.54,3,3
Majuli,160,117.69,4756,2321.88,3011,1732,3,2.75,47,93.8,0,0,16,22.87,78,64.05,0,0
Morigaon,603,313.25,38350,22837.1,22765,14251,20,19.62,1177,1418.14,6,4,8,15.26,325,276.14,14,5
Nagaon,1243,1211.5,95444,46812.15,39696,27899,37,56.94,1507,2113.48,15,7,155,100.45,1081,1241.58,6,6
Nalbari,815,567.14,41825,15987.6,13277,7573,12,43.26,493,568.05,42,40,12,33.2,157,188.38,14,14
Sivasagar,494,376.75,30643,14192.23,12537,7521,15,13.12,498,561.53,34,32,26,149.15,129,344.38,5,5
Sonitpur,938,729.09,36257,22300.25,16069,10522,23,25.03,469,702.08,36,35,21,52.39,166,342.55,4,3
South Salmara,27,42.21,2392,841.28,1393,1123,0,0,0,0,0,0,0,0,17,11.37,6,6
Tinsukia,2018,1772.1,55778,35475.06,24979,18909,25,45.33,936,1361,20,17,26,45.4,141,182.49,1,1
Udalguri,871,655.91,32242,20123.95,12173,6665,3,3.25,116,136.79,3,3,14,19.26,161,112.35,0,0
West Karbi Anglong,199,115.56,10365,3847.11,843,530,0,0,7,3.98,0,0,0,0,6,0,0,0
