District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,125,149.45,5138,4480.46,507,444.94,18109,20067.32
Barpeta,183,189.03,20355,11814.57,174,218.53,8444,8616.85
Biswanath,221,271.45,9967,7057.86,280,216.95,13806,8006.84
Bongaigaon,303,250.58,11546,9194.11,463,345.09,5236,9479.46
Cachar,840,683.87,60343,35456,90,108.12,9762,10387.52
Charaideo,19,12.5,1804,1371.12,91,322.87,1442,1405.42
Chirang,72,69.92,4568,3835.79,411,1009.48,15975,19868.92
Darrang,73,59.18,4865,3533.54,73,78.94,3849,3567.73
Dhemaji,80,126.82,6166,5327.22,535,895.93,26724,32249.81
Dhubri,119,140.92,13904,9271.99,30,39.7,3004,3133.42
Dibrugarh,370,399.53,18475,16492.43,581,1845.61,20515,24429.65
Dima Hasao,21,45.14,1368,2071.39,158,502.85,4722,11245.26
Goalpara,125,79.62,7246,5115.09,439,251.24,19783,15113.83
Golaghat,565,270.98,23130,13116.04,689,415.71,20711,14506.23
Hailakandi,379,311.15,10062,6845.74,38,44.11,1991,1877.54
Hojai,171,276.56,16664,10309.6,86,222.48,5582,5130.85
Jorhat,453,393.29,18734,13231.53,769,643.85,19312,15028.98
Kamrup Metro,600,341.09,27797,16383.61,589,316.81,23581,16746.81
Karbi Anglong,82,176.9,1517,2899.13,940,1843.33,21845,37171.91
Karimganj,1384,1081.72,32244,16628.78,101,95.1,4192,2922
Kokrajhar,74,96.73,5164,4810.02,779,1225.33,25460,45936.47
Lakhimpur,163,196.7,19717,15035.07,858,1553.71,29364,31799.02
Majuli,41,51.24,1306,1045.03,92,90.22,3315,3052.19
Morigaon,228,136.86,16373,9234.71,278,229.3,21271,12165.24
Nagaon,287,702.65,35812,21581.18,218,205.37,22681,15413.32
Nalbari,140,126.18,9490,6241.47,121,213.87,5997,5216.38
Sivasagar,232,397.54,11765,9989.85,167,344.36,7715,8577.89
Sonitpur,301,594.77,20028,13113.77,369,257.61,19724,15843.62
South Salmara,0,0,85,124.48,1,4.86,67,105.25
Tinsukia,252,296.49,8759,8915.82,421,468.73,12247,15525.17
Udalguri,90,103.57,3903,3222.58,1110,953.6,35486,38918.3
West Karbi Anglong,17,14.42,241,582.54,160,253.55,3880,9215.43
