district,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,207,284.15,76,180.98,35,156.31,23,76.18,0,0,2,12.14,21,21.08,0,0,17,44.31,381,775.15
Barpeta,940,3117.96,168,633.69,176,1940.86,82,501,11,79.07,12,91.66,21,28.45,0,0,23,58.87,1433,6451.56
Biswanath,307,535.93,104,217.01,86,1330.22,32,486.18,1,31,1,10.33,10,24.77,1,0,10,32.41,552,2667.85
Bongaigaon,893,2678.4,85,516.91,99,2045.54,30,409.58,4,33.98,6,51.3,4,4.49,0,0,45,622.38,1166,6362.58
Cachar,2666,6158.44,274,1522.78,328,3782.63,155,1304.55,17,582.82,36,436.3,7,13.74,1,4,41,2285.44,3525,16090.7
Charaideo,180,392.05,69,225.42,30,189.41,8,68.61,2,12.84,3,19.54,1,1.01,0,0,0,0,293,908.88
Chirang,176,629.02,37,203.96,25,1388.9,10,464.25,0,0,0,0,8,7.92,0,0,2,225,258,2919.05
Darrang,589,1601.74,95,713.65,56,403.32,28,169.75,3,10.35,2,11.56,9,14.8,0,0,15,45.3,797,2970.47
Dhemaji,261,429.2,113,223.12,50,187.29,34,139.64,5,41.9,10,64.55,19,25.25,5,11,15,177.3,512,1299.25
Dhubri,864,2661.36,127,860.52,96,878.05,38,351.13,0,0,0,0,5,8.12,5,15,27,81.54,1162,4855.72
Dibrugarh,1033,4943.19,356,1897.97,186,4586.52,78,1396,11,1435.12,4,530.65,6,12.75,3,17,43,2521.32,1720,17340.52
Dima Hasao,87,123.44,44,64.76,12,70.73,8,38.68,2,8.03,2,13.21,2,3.49,0,0,3,26.37,160,348.71
Goalpara,347,940.63,95,314.84,55,180.29,31,134.43,5,39.89,14,61.33,13,18.08,0,0,21,147.48,581,1836.97
Golaghat,799,2126.37,196,662.06,196,1578.84,77,503.09,4,55.12,8,83.22,4,18.02,2,7,47,1523.99,1333,6557.71
Hailakandi,1472,2013.09,80,209.54,47,301.32,26,547.38,2,7.7,3,11.62,18,30.99,0,0,4,107.55,1652,3229.19
Hojai,322,1917.7,76,637.24,84,507.97,40,228.1,4,18.87,5,29.39,4,4,1,2,21,333.53,557,3678.8
Jorhat,781,3287.71,224,1085.65,212,4301.65,84,2061.52,26,1908.22,12,497.41,8,11.93,6,14,42,1488.67,1395,14656.76
KARIMGANJ,2847,3394.04,108,662.26,148,671.3,60,317.75,7,34.09,7,51.44,20,46.78,0,0,37,454.13,3234,5631.79
Kamrup,996,1832.8,213,662.98,157,1188.55,91,543.87,7,46.05,10,71.14,29,69.23,1,3,50,482.4,1554,4900.02
Kamrup Metro,2034,31054.86,529,12229.03,479,33823.36,416,12854.58,79,20530.24,43,3938.45,6,25.5,1,4.24,224,19764.29,3811,134224.55
Karbi Anglong,312,476.83,227,247.11,26,315.33,11,160.88,1,0.86,1,0.29,13,16.91,0,0,0,0,591,1218.21
Kokrajhar,410,570.77,38,125.94,15,254.93,7,83.62,0,0,0,0,12,12.04,0,0,5,3,487,1050.3
Lakhimpur,698,2127.18,296,1121.76,161,1019.31,89,627.88,7,48.05,9,74.61,9,20.8,1,2,26,401.15,1296,5442.74
Majuli,27,59.92,8,39.6,14,101.25,9,48.35,0,0,0,0,0,0,0,0,4,3.7,62,252.82
Morigaon,322,528.61,61,118.61,89,261.96,42,173.26,7,62.71,10,96.46,9,23.08,0,0,26,266.46,566,1531.15
Nagaon,826,5512.69,156,1684.78,246,3254.59,144,1773.56,13,351.23,11,123.24,6,15.4,0,0,32,1744.15,1434,14459.64
Nalbari,520,1274.75,107,326.79,73,562.49,31,274.13,2,12.84,2,19.36,18,30.72,1,3,20,939.61,774,3443.69
Sivasagar,714,2231.2,230,720.93,124,1766.76,54,553.64,7,173.78,7,90.72,10,23.03,3,5,27,338.53,1176,5903.59
Sonitpur,1092,5274.91,212,1075.37,173,4225.63,64,1074.18,12,380.65,12,244.55,31,85.08,1,1,30,2388.12,1627,14749.49
South Salmara,62,132.06,26,42.04,1,9.56,1,3.19,0,0,0,0,0,0,0,0,0,0,90,186.85
Tinsukia,1127,3836.17,347,1505.18,160,3407.33,96,1295.36,10,2783.95,6,256.8,11,10.62,6,3,89,3586.66,1852,16685.07
Udalguri,335,409.18,74,138.58,18,66.23,9,35.67,3,27.18,6,43.21,2,1.14,0,0,19,55.36,466,776.55
West Karbi Anglong,7,26.06,78,38.31,1,18,1,6,0,0,0,0,0,0,0,0,0,0,87,88.37
