District,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,34750,462621,25186,95113,675477,73092,15881,145744
Barpeta,84633,1016327,57318,333319,1568514,252452,26424,444376
Biswanath,45590,313774,28613,113209,462938,80807,16944,175743
Bongaigaon,26484,277515,16777,108088,427312,83159,11160,145732
Cachar,85548,547414,54075,258811,902589,190280,25819,370178
Charaideo,21891,168671,13758,62652,258272,46452,6614,91157
Chirang,28725,317274,21717,82708,470530,67967,8845,120278
Darrang,56976,538478,38065,181373,853416,135065,15709,254058
Dhemaji,50600,325366,32063,178164,545297,127591,20770,249534
Dhubri,54809,689656,35214,289411,1160985,227236,19881,364101
Dibrugarh,94370,611578,67477,243474,935180,191701,32845,370689
Dima Hasao,13266,73005,6152,30638,107179,20398,6968,50872
Goalpara,38939,486221,24460,189473,783937,140227,14472,242884
Golaghat,65835,383172,44938,175267,605109,133842,22369,263471
Hailakandi,29005,246905,18651,88331,403673,67438,9301,126637
Hojai,41491,308622,26412,126493,522292,97170,9750,177734
Jorhat,58914,378756,38268,193488,588073,147540,23845,276247
Kamrup Metro,62508,796954,46893,199594,1192470,158702,27205,289307
Karbi Anglong,32307,304187,23535,92553,411210,79324,23365,148225
Karimganj,38156,334462,24280,109431,574702,84625,13831,161418
Kokrajhar,35597,469120,27172,103193,765871,80757,8706,147496
Lakhimpur,74875,364316,45776,241483,602195,173019,24504,340862
Majuli,6496,77746,3894,21646,119460,17391,4095,32237
Morigaon,37779,328842,23305,102094,522201,79057,13103,152976
Nagaon,109300,738034,73822,321327,1333297,230510,33839,464466
Nalbari,40848,453343,28665,117504,674010,92029,12840,171192
Sivasagar,62845,300819,44704,157867,467093,121817,13719,234431
Sonitpur,103747,649924,67412,248328,962405,172234,24429,376504
South Salmara,3496,140436,1752,38448,223008,28497,2222,44166
Tinsukia,72646,553625,45811,194814,816919,144635,22922,290382
Udalguri,59534,560546,38403,143229,847033,102593,14046,216809
West Karbi Anglong,12669,115651,10262,32403,165547,27873,9440,54512
