district,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,2449,2626.14,166,276.63,124,80.98,269,189.95,14,2.63,1296,1882.67,874,1147.54,3919,3573.26,1220,666.3,9,88.58,2,10.88
Barpeta,3748,3007.51,296,323.48,764,393.08,948,507.87,455,128.62,1690,2478.81,893,1420.46,5748,4622.88,2021,1207.82,31,429.79,4,103.51
Biswanath,3253,3110.52,585,479.14,246,208.65,46,53.38,1,0.42,364,497.75,199,267.26,5517,4484.32,2056,1082.03,22,339,0,0
Bongaigaon,1538,1561.62,161,140.15,45,30.81,89,82.87,15,10.7,695,789.16,446,562.15,2283,2195.24,269,140.37,39,577.96,8,54.47
Cachar,2138,2253.28,299,273.59,90,63.98,100,98.31,18,9.25,1803,2310.29,743,988.33,4476,3678.61,1247,758.62,52,616.07,4,39.24
Charaideo,1537,1547.57,193,119.09,124,55.14,12,10.08,0,0,403,596.33,182,317.85,2223,2030.45,340,197.89,15,169.79,0,0
Chirang,2133,2055.72,230,174.99,94,43.6,42,31.98,2,2.43,1522,1884.36,1189,1442.67,2582,2545.92,618,547.74,14,326.42,0,0
Darrang,1931,2157.88,291,336.87,232,248.4,150,128.57,10,1.47,960,1398.13,680,1004.07,3870,3615.67,1485,1122.14,31,372.11,4,47.26
Dhemaji,2552,2429.06,351,264.75,242,90.91,14,20,0,0,879,1856.29,429,812.97,3807,3183.95,1077,494.53,12,121.6,1,9.57
Dhubri,2707,1758.81,213,192,474,123.7,391,194.01,328,148.25,1837,2370.72,1029,1097.1,4326,2690.3,1621,665.75,26,356.23,1,8.78
Dibrugarh,3751,3790.67,389,392.9,295,111.94,339,825.25,47,25.48,1511,2523.74,692,1043.35,5413,4925.84,616,294.68,110,1631.28,12,138.13
Dima Hasao,418,436.86,112,143.65,24,16.33,12,14.33,0,0,225,315.62,62,55.29,651,531.45,174,69.71,19,233.31,1,11.35
Goalpara,2484,2124.74,315,364.26,208,93.64,28,36.27,4,2.81,1099,1266.79,672,827.34,4212,3144.7,1242,602.27,12,100.52,1,8.45
Golaghat,3292,3862.5,381,338.13,116,100.16,143,182.26,11,9.02,1264,1753.66,608,898.98,5279,5608.58,697,394.19,43,722.42,1,8.83
Hailakandi,1448,1145.38,154,104.42,138,45.79,230,127.22,17,10.02,806,1110.95,368,479.36,2170,1576.33,722,334.87,11,115.64,2,40.92
Hojai,1943,1889.69,216,122.16,117,66.39,269,181.6,3,3,660,841.09,175,206.12,2719,2456.89,382,195.03,18,148.7,2,10.44
Jorhat,2970,3688.9,290,285.17,77,56.19,179,407.31,6,4.91,1059,1493.52,443,573.7,4536,4839.32,639,462.08,50,553.51,7,63.71
KARIMGANJ,1536,1398.92,196,160.87,130,52.78,204,213.81,50,16.49,853,1201.83,283,374.18,3101,2145.59,1354,605.19,16,144.93,1,8.89
Kamrup,4571,4719.75,354,287.1,575,497.59,262,203.18,24,19.17,1608,1988.05,905,1133.95,6524,5928.84,1991,1292.51,48,501.74,7,87.09
Kamrup Metro,1526,1288.97,115,88.45,153,92.91,702,1679.24,76,91.05,1289,2380.98,445,593.27,2621,2477.81,511,318.63,333,4484.05,30,302.24
Karbi Anglong,1968,1692,654,616.26,416,218.08,4,8.59,1,2.11,339,352.61,172,107.7,2920,1992.36,1075,346.68,20,404.43,1,5.33
Kokrajhar,1555,1326.73,120,78.81,110,56.8,202,298.01,17,21.16,1988,2442.6,1571,1906.26,2476,2171.8,831,726.95,14,263.22,0,0
Lakhimpur,4009,4354.84,418,478.4,375,194.92,112,169.55,10,6.58,1206,2089.78,561,961.64,5443,5594.01,978,668.76,47,628.28,7,69.52
Majuli,669,751.78,67,65.42,46,28.93,2,0.6,0,0,180,206.86,91,111.56,995,929.41,278,131.89,6,55.75,0,0
Morigaon,2662,2406.35,183,200.99,485,293.77,651,434.58,130,33.41,821,1175.12,456,623.96,4949,3685.82,2200,1164.91,21,180.94,2,13.52
Nagaon,5187,5868.56,520,484.9,381,190.25,158,157.85,16,6,1766,2911.13,868,1289.69,7223,7536.75,1340,848.39,68,823.55,10,77.02
Nalbari,3342,3910.33,165,203.87,192,131.79,225,265.49,23,19.65,1150,1965.1,744,1227.32,5322,5800.89,1172,651.28,25,386.59,0,0
Sivasagar,2104,2390.6,195,142.13,132,54.91,139,188.03,3,4.36,886,1744.93,356,628.39,3485,3604.95,493,355.51,44,641.58,7,111.5
Sonitpur,4351,4424.38,408,313.79,398,201.4,155,283.95,12,10.22,1329,2342.5,577,870.46,6175,5273.98,2105,1092.05,66,997.7,5,43.04
South Salmara,377,246.26,38,42.6,146,37.46,0,0,0,0,393,433.62,334,378.69,413,265.04,184,65.58,1,8.46,0,0
Tinsukia,3933,4171.31,385,437.18,236,139.77,690,565.51,123,81.39,1429,2170.97,603,806.44,4977,4711.85,653,334.61,63,860.96,2,10.86
Udalguri,1704,1830.44,208,139.5,102,99.45,52,16.76,6,0.84,1802,2793.1,1479,2381.57,2963,2681.13,1036,714.23,12,155.7,1,0.74
West Karbi Anglong,1020,864.04,317,277.09,273,145.66,52,76.3,2,1.88,18,17.02,15,12.94,2120,1124.02,1233,354.95,1,19.25,0,0
