District,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt
Baksa,5052,2225.97,7157,4395.42,99,52.24,151,44.64,12459,6718.27
Barpeta,16414,8130.88,21661,8568.62,266,135.2,692,457.89,39033,17292.59
Biswanath,5049,2614.04,9287,3840.51,154,75.12,648,246.12,15138,6775.79
Bongaigaon,2539,1073.63,2861,1369.1,94,43.51,301,269.76,5795,2756
Cachar,14818,7986.06,9539,5346.05,376,326.15,1499,1932.86,26232,15591.12
Charaideo,1385,690.83,3029,1616.21,30,20.97,499,199.14,4943,2527.15
Chirang,4486,2031.97,3031,2010.02,816,470.79,178,114.05,8511,4626.83
Darrang,11430,5647.71,15022,7478.42,131,63.67,665,476.84,27248,13666.64
Dhemaji,6969,3498.05,4702,2635.7,40,44.07,404,275.45,12115,6453.27
Dhubri,11748,5631.29,15886,7934.75,2714,1400.13,1784,1042.31,32132,16008.48
Dibrugarh,28993,15387.2,26122,8375.13,404,248.35,2539,1954.95,58058,25965.63
Dima Hasao,756,162.17,450,276.61,1,2,8,13.67,1215,454.45
Goalpara,7419,3089.02,5653,4160.81,284,153.03,186,180.72,13542,7583.58
Golaghat,22620,9116.26,31875,10321.93,1467,722.88,982,941.46,56944,21102.53
Hailakandi,5926,2785.04,2436,1304.26,28,34.41,185,167.57,8575,4291.28
Hojai,6531,3297.13,6363,2891.63,567,306.84,1029,699.3,14490,7194.9
Jorhat,18215,7648.01,28439,8727.31,1752,885.96,1264,2317.27,49670,19578.55
Kamrup Metro,23121,12236.86,14784,6548.24,152,130.16,546,688.36,38603,19603.62
Karbi Anglong,6524,2819.49,2587,1079.21,2,3,26,46.11,9139,3947.81
Karimganj,5541,2835.23,8193,3417.04,147,127.09,1229,1140.29,15110,7519.65
Kokrajhar,4708,2157.23,4091,2679.86,464,226.08,393,195.66,9656,5258.83
Lakhimpur,16290,9331.74,16385,6109.26,299,203.75,1033,683.37,34007,16328.12
Majuli,1479,614.39,1315,872.87,3,3,37,37.85,2834,1528.11
Morigaon,7932,4318.6,15951,7799.35,966,497.46,1656,1346.13,26505,13961.54
Nagaon,32249,13962.17,41661,14800.62,1242,688.92,4191,2430.06,79343,31881.77
Nalbari,10292,4443.16,16897,5279.93,163,85.46,268,166.67,27620,9975.22
Sivasagar,8754,3565.07,20284,7294.5,112,75.41,2061,1073.77,31211,12008.75
Sonitpur,7239,3863.78,17714,8067.07,783,383.4,1377,685.17,27113,12999.42
South Salmara,1301,406.87,470,706.27,0,0,0,0,1771,1113.14
Tinsukia,15862,9477.62,12814,4019.78,156,119.01,1198,1155.97,30030,14772.38
Udalguri,15867,10240.43,10737,6385.49,63,20.03,88,60.21,26755,16706.16
West Karbi Anglong,1582,722.42,1511,524.13,1,0,5,0.68,3099,1247.23
