District,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Baksa,0,0,1,8.87,1,22.77,2,31.64,9,88.58,2,10.88,12.282682321065705
Barpeta,7,117.75,5,104.59,0,0,12,222.34,31,429.79,4,103.51,24.08385490588427
Biswanath,4,37.87,4,50.45,1,8.95,9,97.27,22,339,0,0,0
Bongaigaon,9,73.75,3,24.26,1,8.95,13,106.96,39,577.96,8,54.47,9.424527648972246
Cachar,5,134.89,0,0,0,0,5,134.89,52,616.07,4,39.24,6.369406073985099
Charaideo,3,5.5,1,9.56,0,0,4,15.06,15,169.79,0,0,0
Chirang,2,48.98,0,0,2,43.5,4,92.48,14,326.42,0,0,0
Darrang,7,37.76,1,8.87,2,24.5,10,71.13,31,372.11,4,47.26,12.700545537609845
Dhemaji,2,29.05,0,0,0,0,2,29.05,12,121.6,1,9.57,7.870065789473685
Dhubri,7,21,0,0,1,8.48,8,29.48,26,356.23,1,8.78,2.4646997726188133
Dibrugarh,24,279.16,3,71.58,2,14.99,29,365.73,110,1631.28,12,138.13,8.467583737923594
Dima Hasao,0,0,0,0,1,0.15,1,0.15,19,233.31,1,11.35,4.864772191504865
Goalpara,2,25.39,0,0,1,8.8,3,34.19,12,100.52,1,8.45,8.406287306008755
Golaghat,3,17.16,0,0,0,0,3,17.16,43,722.42,1,8.83,1.2222806677555993
Hailakandi,1,10,1,9.26,0,0,2,19.26,11,115.64,2,40.92,35.38567969560706
Hojai,1,11,0,0,1,7.98,2,18.98,18,148.7,2,10.44,7.020847343644923
Jorhat,2,22,3,54.94,1,9.06,6,86,50,553.51,7,63.71,11.510180484544092
Kamrup Metro,10,48.29,0,0,0,0,10,48.29,48,501.74,7,87.09,17.35759556742536
Karbi Anglong,0,0,1,0,0,0,1,0,20,404.43,1,5.33,1.3179042108646737
Karimganj,1,2.42,2,9.15,0,0,3,11.57,16,144.93,1,8.89,6.133995722072725
Kokrajhar,4,28.67,0,0,0,0,4,28.67,14,263.22,0,0,0
Lakhimpur,2,12.07,0,0,4,14.33,6,26.4,47,628.28,7,69.52,11.065130196727575
Majuli,0,0,1,8.54,0,0,1,8.54,6,55.75,0,0,0
Morigaon,5,27.56,2,14.98,0,0,7,42.54,21,180.94,2,13.52,7.472090195644965
Nagaon,11,67.93,5,56.82,2,24.26,18,149.01,68,823.55,10,77.02,9.352194766559407
Nalbari,2,28.5,3,28.57,2,24.96,7,82.03,25,386.59,0,0,0
Sivasagar,5,26.77,2,11.34,0,0,7,38.11,44,641.58,7,111.5,17.3789706661679
Sonitpur,13,107.29,2,56.54,2,27.36,17,191.19,66,997.7,5,43.04,4.313922020647489
South Salmara,0,0,0,0,0,0,0,0,1,8.46,0,0,0
Tinsukia,14,205.44,3,38.16,0,0,17,243.6,63,860.96,2,10.86,1.261382642631481
Udalguri,0,0,1,9.15,0,0,1,9.15,12,155.7,1,0.74,0.4752729608220938
West Karbi Anglong,0,0,0,0,0,0,0,0,1,19.25,0,0,0
