District,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,3037,2326.75,64,96.2,360,560.05,104,186.18,59,67.77,29,79.56,0,0,0,0,5247,3140.32,8900,6456.83
Barpeta,1600,1458.13,784,833.76,1110,1239.26,1183,2055.35,155,182.87,191,342.59,2,13.22,4,6.52,10565,4644.01,15594,10775.71
Biswanath,1074,800.3,142,420.56,40,77.81,114,144.3,134,126.86,19,25.37,0,0,13,23.5,2653,1681.57,4189,3300.27
Bongaigaon,1787,1356.89,316,415.94,1798,818.99,193,445.04,73,82.35,48,49.84,2,80.93,4,4.58,8243,3467.15,12464,6721.71
Cachar,3761,3409.18,2213,2659.92,392,546.12,317,455.4,366,556.25,212,275.49,9,763.15,19,37,5873,3941.03,13162,12643.54
Charaideo,329,400,197,267.97,28,46.68,28,44.28,50,55.4,12,17.34,1,0.7,8,16,577,514.82,1230,1363.19
Chirang,1307,797.59,101,144.31,216,224.75,18,29.98,29,31.18,11,10.5,0,0,4,7.54,1616,794.46,3302,2040.31
Darrang,1171,1557.38,307,490.14,675,1210.12,171,252.54,126,189.41,124,156.77,1,42.62,7,9.55,7342,3704.29,9924,7612.82
Dhemaji,724,698.77,406,579.69,47,97.89,349,184.95,89,102.88,21,43.82,0,0,7,10.82,2157,1454.26,3800,3173.08
Dhubri,1014,1142.21,454,701.53,291,342.01,194,431.28,138,115.85,27,34.96,0,0,10,28.04,986,870.41,3114,3666.29
Dibrugarh,5733,4703.33,1211,1508.35,379,476.1,575,646.67,309,406.8,52,83.07,4,6.1,17,28.41,12415,12559.21,20695,20418.04
Dima Hasao,41,62.45,39,60.62,20,18.37,15,18.86,8,10.87,3,2.83,0,0,3,7,346,250.81,475,431.81
Goalpara,2135,1391.26,305,423.78,313,378.18,133,220.02,130,133.3,48,46.97,6,0.95,5,6.72,5624,4044.34,8699,6645.52
Golaghat,3340,2335.31,646,1051.33,1577,640.51,518,680.15,136,162.92,35,26.04,3,414.04,2,3,13684,6439.51,19941,11752.81
Hailakandi,706,762.25,393,586.26,275,407.9,67,132.87,119,161.87,24,41.58,2,559.67,8,11.77,1372,975.02,2966,3639.19
Hojai,814,1037.08,535,962.83,172,281.86,148,225.79,102,121.82,29,44.39,1,0.26,3,3.65,1533,1006.16,3337,3683.84
Jorhat,2674,2352.8,690,914.31,2109,1203.3,497,716.88,206,242.3,64,77.66,2,44.51,20,109.37,8374,11654.68,14636,17315.81
Kamrup Metro,4935,4147.96,887,1298.45,1342,896.01,499,683.84,317,516.79,122,128.09,2,34.8,20,29.26,17626,10134.3,25750,17869.5
Karbi Anglong,578,315.02,55,82.82,642,318.48,54,79.41,12,15.75,10,8.04,0,0,5,9,2921,2032.95,4277,2861.47
Karimganj,1957,2105.41,1304,1871.27,325,491.37,183,279.76,183,216.9,90,93.53,9,72.8,10,10.89,2537,1392.13,6598,6534.06
Kokrajhar,245,234.44,64,79.06,215,130.03,46,72.95,14,18.39,12,13.19,0,0,0,0,791,925.75,1387,1473.81
Lakhimpur,1003,1472.58,979,1529.28,259,448.45,263,384.5,273,356.05,139,207.25,2,0.43,7,12.93,3837,1766.67,6762,6178.14
Majuli,49,106.18,59,116.15,6,9.19,24,44.02,11,12.42,15,17.55,0,0,1,2,94,69.02,259,376.53
Morigaon,2204,2065.11,1515,1723.38,712,772.12,275,632.26,248,334.77,125,166.61,1,14.4,11,11.24,2084,1337.15,7175,7057.04
Nagaon,4524,4167.14,1637,2598.76,2628,1554.34,856,1652.88,291,426.85,391,556.33,9,465.68,35,58.11,21741,7582.84,32112,19062.93
Nalbari,1136,981.92,270,434.15,681,636.49,199,323.76,148,107.07,132,129.18,1,1.71,12,16.17,6870,4082,9449,6712.45
Sivasagar,1302,1166.89,530,682.81,2024,860.6,774,1123.63,175,152.63,43,49.85,0,0,13,12.66,6920,3510.74,11781,7559.81
Sonitpur,3077,2863.76,630,799.2,243,428,359,519.05,233,296.22,112,204.79,1,0.22,5,19.7,7567,4772.34,12227,9903.28
South Salmara,0,0,0,0,4,14.88,3,4.1,4,11.21,1,2.18,0,0,0,0,62,211.98,74,244.35
Tinsukia,3655,3339.53,1142,1551.12,558,710.78,447,574.66,309,544.49,98,83.44,1,0.57,4,6.45,8482,10248.18,14696,17059.22
Udalguri,1280,1015.2,20,34.04,187,376.18,59,110.46,142,150.99,92,45.95,1,0.39,0,0,6926,3722.94,8707,5456.15
West Karbi Anglong,0,0,0,0,174,72.5,4,5.2,1,5.07,6,0,0,0,0,0,49,19.68,234,102.45
