District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Baksa,0,0,12,29.21,229,642.04,0,0,86,28.08,86,99.69,413,799.02
Barpeta,0,0,33,105.28,204,1009.09,1,96.66,528,261.81,579,321.62,1345,1794.46
Biswanath,0,0,17,44.2,79,247.9,0,0,0,0,161,325.92,257,618.02
Bongaigaon,0,0,9,24.52,52,351.15,67,8.65,124,59.8,369,289.93,621,734.05
Cachar,0,0,59,116.54,171,743.69,0,0,10,4.55,2085,622.11,2325,1486.89
Charaideo,0,0,9,42.96,21,163.31,0,0,70,26.55,35,258.43,135,491.25
Chirang,0,0,15,40.21,32,71.66,0,0,148,83.27,32,19.18,227,214.32
Darrang,0,0,20,49.35,163,501.1,1,0.11,58,29.68,125,194.25,367,774.49
Dhemaji,0,0,13,33.94,69,317.25,0,0,23,8.19,33,53.86,138,413.24
Dhubri,0,0,17,53.4,94,380.94,0,0,231,127.78,411,469.74,753,1031.86
Dibrugarh,0,0,67,214.35,184,1725.18,2505,325.2,23,8.45,2897,1019.52,5676,3292.7
Dima Hasao,0,0,1,2,20,82.57,0,0,0,0,5,11,26,95.57
Goalpara,0,0,14,56.78,88,245.47,0,0,492,324.35,794,251.13,1388,877.73
Golaghat,0,0,28,51.82,73,396.75,227,22.84,7,2,3330,851.45,3665,1324.86
Hailakandi,0,0,8,18.21,54,224.49,0,0,26,13.42,46,88.03,134,344.15
Hojai,0,0,12,30.06,31,175.9,0,0,0,0,139,1531.96,182,1737.92
Jorhat,0,0,42,131.29,205,875.16,1119,131.18,0,0,5663,1332.6,7029,2470.23
Kamrup Metro,0,0,57,156.02,264,963.21,96,6.34,23,9.57,10020,1260.96,10460,2396.1
Karbi Anglong,0,0,15,39.38,40,184.68,0,0,1,0.08,325,127.56,381,351.7
Karimganj,0,0,7,19.25,76,307.01,0,0,11,3.2,1751,922.38,1845,1251.84
Kokrajhar,0,0,8,16.61,39,118.33,0,0,58,41.53,231,151.8,336,328.27
Lakhimpur,0,0,25,69.35,176,879.71,21,11.41,114,48.62,429,1284.16,765,2293.25
Majuli,0,0,3,4.23,21,86.26,0,0,0,0,57,801,81,891.49
Morigaon,0,0,12,30.87,208,910.02,0,0,30,12.37,287,1677.08,537,2630.34
Nagaon,0,0,36,114.57,276,1286.73,72,5.91,3,2.14,5024,1819.12,5411,3228.47
Nalbari,0,0,45,109.95,388,1183.01,9,0.93,7,3.53,2943,604.42,3392,1901.84
Sivasagar,0,0,21,58.36,106,627.02,803,104.24,20,7.83,2712,1059.81,3662,1857.26
Sonitpur,0,0,55,114.83,282,938.87,440,41.77,4,1.47,2233,1616.97,3014,2713.91
South Salmara,0,0,8,27.37,18,56.72,0,0,9,6.42,6,11.93,41,102.44
Tinsukia,0,0,40,116.24,109,670.99,485,62.83,27,7.22,389,584.86,1050,1442.14
Udalguri,0,0,27,87.48,50,160.38,0,0,0,0,168,99.6,245,347.46
West Karbi Anglong,0,0,0,0,17,68.99,0,0,9,0.78,2,3.61,28,73.38
