District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Baksa,34,73.34,37,69.63,1296,1882.67,874,1147.54,60.952795763463584
Barpeta,36,62.04,36,54.51,1690,2478.81,893,1420.46,57.30410963325144
Biswanath,13,30.7,11,25.27,364,497.75,199,267.26,53.69362129583124
Bongaigaon,7,6.5,4,4.49,695,789.16,446,562.15,71.23397029753156
Cachar,14,35.61,15,40.39,1803,2310.29,743,988.33,42.779477901042725
Charaideo,4,13.72,2,1.61,403,596.33,182,317.85,53.30102460047289
Chirang,11,8.84,9,7.73,1522,1884.36,1189,1442.67,76.56021142456856
Darrang,16,26.32,13,22.38,960,1398.13,680,1004.07,71.81521031663722
Dhemaji,28,54.31,27,37.4,879,1856.29,429,812.97,43.79541989667563
Dhubri,26,57.84,22,46.11,1837,2370.72,1029,1097.1,46.27708038064385
Dibrugarh,16,65.24,16,39.78,1511,2523.74,692,1043.35,41.341421858036085
Dima Hasao,9,6.05,9,7,225,315.62,62,55.29,17.51790127368354
Goalpara,21,40.75,18,29.83,1099,1266.79,672,827.34,65.30995666211449
Golaghat,14,44.43,15,40.02,1264,1753.66,608,898.98,51.26307265946649
Hailakandi,27,62.94,28,55.76,806,1110.95,368,479.36,43.1486565552005
Hojai,8,15.9,7,7.64,660,841.09,175,206.12,24.506295402394514
Jorhat,23,57.82,30,48.19,1059,1493.52,443,573.7,38.41260913814345
Kamrup Metro,34,75.44,29,58.74,1608,1988.05,905,1133.95,57.03830386559694
Karbi Anglong,20,23.48,18,23.07,339,352.61,172,107.7,30.543660134426137
Karimganj,28,85.63,25,78.72,853,1201.83,283,374.18,31.134187031443716
Kokrajhar,26,33.3,30,37.48,1988,2442.6,1571,1906.26,78.04225006140997
Lakhimpur,17,30.08,13,27.02,1206,2089.78,561,961.64,46.016327077491404
Majuli,4,9.47,1,1,180,206.86,91,111.56,53.93019433433239
Morigaon,18,36.29,16,29.34,821,1175.12,456,623.96,53.09755599428144
Nagaon,22,46.3,15,24.07,1766,2911.13,868,1289.69,44.30204078828496
Nalbari,25,40.23,24,39.67,1150,1965.1,744,1227.32,62.45585466388479
Sivasagar,16,38.02,15,27.72,886,1744.93,356,628.39,36.012332872951916
Sonitpur,42,117.42,36,116.64,1329,2342.5,577,870.46,37.15944503735326
South Salmara,4,2.37,4,2.37,393,433.62,334,378.69,87.33222637332226
Tinsukia,24,45.77,22,29.97,1429,2170.97,603,806.44,37.14652897092084
Udalguri,7,12.02,5,10.24,1802,2793.1,1479,2381.57,85.26619168665641
West Karbi Anglong,0,0,0,0,18,17.02,15,12.94,76.02820211515863
