district,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,649,277.95,0,0,0,0,12,12.68,10,12.85,55,76.79,2,2,473,541.9,12,9.9,117,106.86,1330,1040.93
Barpeta,2469,1055.31,0,0,0,0,66,124.07,55,149.93,110,178.17,56,108.66,959,859.04,64,90.05,375,467.09,4154,3032.32
Biswanath,1007,639.01,0,0,0,0,33,44.56,29,61.72,144,221.43,2,9.06,776,850.14,39,44.57,353,1158.04,2383,3028.53
Bongaigaon,399,285.42,0,0,0,0,25,44.85,24,64.86,43,71.15,102,63.88,1114,567.56,26,34.59,265,907.54,1998,2039.85
Cachar,962,689.8,0,0,0,0,118,181.86,104,311.41,149,178.77,57,79.53,2264,1717.48,121,703.03,885,840.22,4660,4702.1
Charaideo,65,68.68,0,0,0,0,14,24.81,5,33.85,75,152.52,11,24.36,422,526.62,14,14.57,135,85.68,741,931.09
Chirang,421,393.43,0,0,0,0,5,12.13,4,23.56,29,53.19,10,11.24,264,419.3,5,7.61,68,51.24,806,971.7
Darrang,880,548.51,0,0,0,0,38,67.05,36,146.74,109,162.47,117,120.94,709,761.19,43,60.72,229,249.2,2161,2116.82
Dhemaji,470,405.7,0,0,0,0,80,64.44,26,60.36,117,167.2,5,9.58,821,1049.72,30,35.4,229,175.09,1778,1967.49
Dhubri,489,335.63,0,0,0,0,41,68.73,37,123.87,90,147.52,14,152.22,807,623.19,50,56.27,356,248.95,1884,1756.38
Dibrugarh,2401,1213.72,0,0,0,0,23,76.7,34,102.3,110,171.05,26,42.27,1482,1723.42,22,34.63,429,2577.39,4527,5941.48
Dima Hasao,52,36.38,0,0,0,0,8,9.34,7,9.16,25,24.27,0,0,184,181.67,8,7.41,93,56.57,377,324.8
Goalpara,632,406.93,0,0,0,0,35,56.77,29,94.06,51,62.8,63,103.28,776,755.48,34,43.76,530,596.8,2150,2119.88
Golaghat,2127,1914.8,0,0,0,0,37,89.02,35,143.16,155,305.76,62,35.73,2575,1587.02,45,67.1,616,1692.94,5652,5835.53
Hailakandi,432,167.94,0,0,0,0,17,54.6,14,77.73,35,78.53,7,20.31,601,442.08,42,52.56,182,476.48,1330,1370.23
Hojai,507,354.67,0,0,0,0,35,69.49,37,119.7,52,76.15,11,26.98,866,638.32,64,56.89,477,356.17,2049,1698.37
Jorhat,1377,813.72,0,0,1,75.4,14,56.55,7,81.74,84,167.77,26,39.93,1139,1276.33,30,32.3,334,4375.66,3012,6919.4
KARIMGANJ,390,264.39,0,0,0,0,73,152.98,67,193.29,96,162.52,14,37.48,2060,1583.59,77,100.52,452,304.21,3229,2798.98
Kamrup,1653,912.13,0,0,0,0,131,161.1,109,246.51,178,363.37,48,56.22,1557,1404.63,122,134.87,774,517.21,4572,3796.04
Kamrup Metro,668,1273.42,4,4.32,0,0,78,128.54,79,295.96,165,426.63,85,122.49,1112,1222.09,81,204.98,581,10546.63,2853,14225.06
Karbi Anglong,1394,830.9,0,0,2,0.98,3,8.52,2,10,79,68.21,5,2.02,879,1009.28,3,5.5,165,96.43,2532,2031.84
Kokrajhar,506,329.12,0,0,0,0,9,7.76,8,17.42,61,45.6,10,11.64,279,326.75,59,38.7,47,27.9,979,804.89
Lakhimpur,1855,972.14,0,0,0,0,70,118.99,60,189.55,142,198.45,68,69.18,1335,1437.07,70,75.85,693,532.51,4293,3593.74
Majuli,192,137.67,0,0,0,0,17,13.67,8,34.14,10,13.91,17,23.17,90,114.4,9,11.26,41,32.13,384,380.35
Morigaon,781,360.81,0,0,0,0,56,104.88,51,99.18,99,97.24,13,19.26,689,625.88,64,57.91,279,182.17,2032,1547.33
Nagaon,1570,1190.29,0,0,0,0,126,269.14,109,683.19,205,363.08,165,113.19,2468,2121.8,142,222.76,1331,1605.3,6116,6568.75
Nalbari,769,451.26,0,0,0,0,33,57.01,32,91.94,100,221.22,13,33.8,721,922.17,33,48.22,218,390.52,1919,2216.14
Sivasagar,732,480.87,0,0,0,0,46,68.62,41,125.55,123,185.86,30,151.73,1265,1244.49,47,47.72,342,506.59,2626,2811.43
Sonitpur,1286,1212.81,0,0,0,0,65,85.46,46,168.31,102,170.86,22,52.39,1240,1452.15,51,62.56,456,1375.72,3268,4580.26
South Salmara,37,51.52,0,0,0,0,0,0,0,0,0,0,2,10,27,70.68,0,0,0,0,66,132.2
Tinsukia,2333,1771.81,0,0,0,0,43,91.42,29,114.4,188,269.1,26,45.6,1444,1583.35,36,42.95,448,2712.7,4547,6631.33
Udalguri,958,727.19,0,0,0,0,2,5.78,1,29.19,74,37.25,15,19.76,270,346.16,2,4.4,133,69.31,1455,1239.04
West Karbi Anglong,212,117.01,0,0,0,0,0,0,0,0,11,15.5,0,0,192,263.95,0,0,1,1.01,416,397.47
