District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Baksa,17168037,622325.39,545419,10579.65,1210,129.6,1192349,241200.99,62848,11416.22,105874,1345.75
Barpeta,137648107,5215865.59,1781960,44441.29,378,99.23,9065747,2327645.12,185312,20489455.88,525308,4732.9
Biswanath,67056420,1610486.01,544509,10579.57,56,34.9,2932171,651371.98,122121,65836.24,100537,1535.37
Bongaigaon,55095619,1709336.44,638861,14965.09,534,80.82,4529943,969370.46,115617,60558.85,231756,2697.54
Cachar,100767327,3196648.71,1391200,29655.29,1663,250.59,12561820,2496202.48,247379,307863.84,365260,5420.38
Charaideo,298161,9924.32,321890,6635.98,570,268.45,43596,8014.01,33165,13817.45,90445,1297.33
Chirang,69936,2757.47,394588,8260.51,14,8.73,7236,1264.08,39458,6665.58,126027,1753.26
Darrang,51118958,1810179.89,646442,15120.51,576,120.81,4040468,986976.81,99031,48969.06,140804,1833.97
Dhemaji,10135270,302721.12,784155,14764.07,477,132.42,1105652,214706.15,117084,57334.76,133295,1796.68
Dhubri,41979197,1702414.16,1077962,26850.64,593,165.29,3071706,692663.96,130129,80631.27,211274,2711.2
Dibrugarh,185230267,5074767.56,1495182,32093.28,3075,810.54,24122141,5443474.24,533279,192779.94,561932,8473.71
Dima Hasao,4700,467.83,298402,6633.83,18,8.73,2544,459.29,25938,13383.95,75779,952.75
Goalpara,51484732,1975398.42,693259,18512,726,341.97,3447312,948245.26,81736,70530.9,159220,2009
Golaghat,85354007,2401332.78,956170,17266.35,112,72.09,12301303,2634667.24,313238,12115872.15,252468,3845.29
Hailakandi,4948609,182806.53,515093,9084.44,40,28.33,587698,133267.09,45938,48186.16,58091,851.95
Hojai,53992989,2151889.56,815536,20603.82,1978,426.5,8798105,2380090.14,100312,95806.55,127994,1842.99
Jorhat,155331781,4024050.26,1106038,21797.99,2527,499.31,20902307,3952123.77,352071,30262843,466402,6797.05
Kamrup Metro,146430421,4386573.06,1297237,27487.46,124,91.37,11145598,2695978.42,348031,91822138.26,324042,4838.01
Karbi Anglong,29618053,1088203,654220,13865.95,13,8.75,3024931,578512.39,112206,45320.96,149083,2343.61
Karimganj,40224843,1576810.6,840913,18864.6,709,192.92,6747644,1723805.51,115692,48057.47,128349,1868.39
Kokrajhar,23412963,753694.07,588364,12309.1,20,8.73,2326602,469672.63,45680,53950.37,325107,2728.82
Lakhimpur,51686847,1466508.68,1025229,20639.57,147,123.41,4272619,1004475.51,201500,128858.81,188045,2787.67
Majuli,7130,320.97,123060,2140.81,553,264.97,3391,561.71,7175,9029.03,18130,243.09
Morigaon,65308887,2376759.17,418178,10661.28,538,96.83,3660178,1278340.66,113660,79574.67,115278,1283.58
Nagaon,100490416,3286427.81,1485118,35885.26,1901,877.34,8271793,1907828.15,276818,19533130.75,363274,5245.37
Nalbari,38041891,1179138.29,639883,13495.83,590,281.47,3272012,732480.11,173202,20914430.75,184632,2430.1
Sivasagar,85140351,2389682.43,933538,19292.79,652,299.84,8824408,1916084.65,281565,63709.63,365686,5859.86
Sonitpur,99745228,2988639.75,1427725,28822.05,736,325.59,10273377,2178717.97,342150,14398285.1,445490,5955.13
South Salmara,106504,2563.21,146236,4936.11,0,0,12901,1327.1,9791,502.82,38313,424.07
Tinsukia,142004203,4534253.19,1069741,22317.02,3608,877.88,25730165,6461275.18,345781,207405.89,289710,4232.06
Udalguri,1420903,51575.45,659467,11927.02,14,9.79,203723,65488.79,86987,65561.62,104265,1373.44
West Karbi Anglong,51148,1285.06,238983,4282.44,0,0,4260,458.76,24687,1371.84,36643,447.16
