District,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Baksa,25620,13940.97,3844,2712.9,11676,10034.45,15,7.36,3692,3382.55,2913,892.87,5039,4010.7,24,4.38,9577,4108.21,62400,39094.39
Barpeta,85527,65963.98,17433,8581.75,6647,4386.94,177,33.76,4890,4094.98,23687,5934.71,42100,43202.02,545,62.8,16364,10132.62,197370,142393.56
Biswanath,35161,17970.66,7268,4575.54,8849,4944.16,52,6.58,5138,4378.4,4356,1576.58,4925,4232.18,80,4.85,12850,6825.92,78679,44514.87
Bongaigaon,26028,12383.41,9550,5162.32,2852,3690.03,96,21.24,1684,1781.87,5956,2885.99,17525,13402.68,835,51.46,26017,9588.74,90543,48967.74
Cachar,92617,58068.62,57482,29878.9,8855,6930.19,568,95.79,5314,3886.94,18423,8229.49,39156,36026.96,1414,120.63,36017,41158.18,259846,184395.7
Charaideo,18707,9935.25,1646,1161.65,1209,837.89,52,11.16,1857,1712.58,3508,1577.51,1605,1341.7,121,19.74,5946,4583.01,34651,21180.49
Chirang,24369,13148.94,3879,2441.66,12578,10341.38,25,8.87,2464,2153.8,2791,1330.44,6318,4757.58,12,4.13,3972,2318.91,56408,36505.71
Darrang,58479,47905.87,4123,2462.68,3103,2232.6,93,14.4,3703,3809.81,11138,3007.06,23278,22872.49,724,33.67,10606,6002.7,115247,88341.28
Dhemaji,30301,18651.22,4362,3375.33,14727,14052.67,122,19.25,4333,3271.8,5130,2481.13,840,557.82,140,22.63,14076,8850.11,74031,51281.96
Dhubri,63380,33730.76,12649,6880.92,2460,1592.91,180,39.05,3120,2119.24,4880,2310.16,25841,23660.18,594,37.36,11536,7556.99,124640,77927.57
Dibrugarh,99313,63120.15,14500,11154.72,15290,13411.97,340,115.18,6327,5216.43,29949,11536.6,6512,10674.17,444,63.31,37938,28836.55,210613,144129.08
Dima Hasao,1197,521.9,1071,1292.13,2586,4338.81,62,3.35,805,749.55,2066,1129.62,900,1510.49,14,2.21,3227,3709.58,11928,13257.64
Goalpara,41486,21176.14,5506,3291.21,15814,8194.63,86,13.92,4929,3487.23,7541,2434.16,18026,15455.66,199,18.78,10221,6339.44,103808,60411.17
Golaghat,118545,56027.02,20161,9842.24,16721,9294.6,248,40.98,3888,4255.96,22684,6087.79,9870,5414.95,938,80.59,44299,17455.49,237354,108499.62
Hailakandi,25200,25097.57,9361,5501.92,1805,1411.87,121,21.94,1807,1240.19,3218,1576.8,20017,16521.47,115,21.54,6386,5480.82,68030,56874.12
Hojai,40144,24627.82,14210,8174.15,4750,3346.53,226,40.54,3168,2140.54,5487,2680.6,18437,13670.79,193,28.6,15855,11024.96,102470,65734.53
Jorhat,83409,46113.1,15361,9006.28,14271,9065.56,254,70.69,3385,3723.88,27854,7997.51,6229,8867.89,464,51.76,38654,22925.13,189881,107821.8
Kamrup Metro,106235,59249.45,23551,12521.03,18034,10396.21,272,67.57,6598,6408.85,23724,6170.42,27559,22019.74,373,38.05,26004,14170.87,232350,131042.19
Karbi Anglong,9672,4892.02,947,1245.89,12929,15036.23,30,5.02,4092,2386.53,10153,3133.11,1282,1860.11,138,4.48,11418,4150.63,50661,32714.02
Karimganj,54580,35057.16,31050,15172.53,4026,2444.22,214,51.52,3028,1963.35,8751,2378.9,19520,14665.4,280,56.86,11390,9050.78,132839,80840.72
Kokrajhar,28694,17185.96,4336,2693.62,15128,15813.62,71,8.72,2204,1948.2,5498,2646.85,11117,7136.51,84,9.71,5424,4560.88,72556,52004.07
Lakhimpur,78435,48414.3,14786,11005.38,19511,18395.55,378,84.1,5438,5325.39,18406,7608,11541,10964.35,91,36.12,39992,38306.54,188578,140139.73
Majuli,5598,3058.99,611,555.2,2421,1828.68,15,9.16,734,699.02,597,361.22,609,341.1,25,3.36,2329,1407.66,12939,8264.39
Morigaon,74230,53784.03,14627,8155.23,17891,9926.21,291,54.62,3978,3363.92,8031,2833.2,21663,13891.66,1845,124.29,16603,9647.49,159159,101780.65
Nagaon,155825,82462.31,30908,17668.31,19358,10890.23,462,73.01,6072,6266.06,38028,10770.33,57582,43224.33,1907,127.07,47703,34654.15,357845,206135.8
Nalbari,50972,28327.22,7967,4548.48,5057,3761.74,93,13.95,4902,5512.53,24206,4812.49,14149,11741.96,395,64.02,10654,6411.33,118395,65193.72
Sivasagar,61979,31593.46,8551,5847.33,5383,4034.92,177,21.74,2651,2709.98,14512,4882.56,6259,10705.97,600,51.69,24397,12170.88,124509,72018.53
Sonitpur,70576,39542.82,17667,10039.63,16250,9950.12,308,55.12,5898,5328.93,13290,5976.9,12294,14209.53,919,245.48,33441,22756.35,170643,108104.88
South Salmara,2480,1002.87,34,76.43,27,8.39,0,0,347,320.55,287,120.18,2631,4968.59,14,0.05,187,238.57,6007,6735.63
Tinsukia,68029,81812.01,8035,7037.91,11050,10926.43,203,53.97,4050,3838.83,19042,12143.08,5870,9740.72,1077,139.54,13984,10516.34,131340,136208.83
Udalguri,37727,23945.01,2594,1706.05,26581,24791.71,21,12.19,2508,2388.51,4677,2742.48,7556,9027.43,73,2.52,11414,5100.24,93151,69716.14
West Karbi Anglong,2326,4330.79,121,179.28,2101,3408.99,1,0.01,2103,1103.08,3677,1149.74,231,427.76,17,0.43,683,155.75,11260,10755.83
