District,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,182,281.47,,6446.8,22,41.01,1,0.68,0,0,23,23.73,10448,6793.69
Barpeta,172,469.62,,86976.38,50,48.56,12,63.17,3,3.53,34,407.43,114537,87968.69
Biswanath,537,483.37,,7812.08,21,35.17,7,35.17,5,4.33,13,142.15,14426,8512.27
Bongaigaon,1919,1155.88,,28207.94,314,190.7,23,74.74,1,1.29,17,100.96,41734,29731.51
Cachar,2346,4208.23,,87246.67,47,99.4,35,85.33,4,1.1,24,182.12,118325,91822.85
Charaideo,165,129.74,,1659.14,76,89.49,16,30.93,3,5.52,7,1.21,3273,1916.03
Chirang,3373,2308.59,,8187.94,100,51.48,0,0,4,4.72,4,2.36,15856,10555.09
Darrang,314,647.31,,46885.64,63,197.19,3,5.44,1,0.13,18,74.41,75323,47810.12
Dhemaji,119,140.06,,915.83,9,28.39,14,25.9,0,0,2,5.75,1641,1115.93
Dhubri,581,637.06,,78279.85,16,9.2,14,39.57,2,1.14,18,141.17,107066,79107.99
Dibrugarh,1779,3161.46,,16750.56,197,720.91,264,1042.39,8,6.5,45,416.68,18126,22098.5
Dima Hasao,2066,5327.76,,1069,3,5.7,6,16.62,0,0,0,0,2690,6419.08
Goalpara,6434,3643.54,,35694.6,25,11.23,11,28.47,13,4.64,12,42.77,54317,39425.25
Golaghat,2112,1377.4,,11738.08,282,245.92,68,134.36,6,3.87,25,68.21,24412,13567.84
Hailakandi,218,468.27,,29873.73,5,81.7,1,1.26,0,0,1,0.43,35918,30425.39
Hojai,287,581.29,,25769.78,15,42.95,27,32.54,0,0,1,0.2,36789,26426.76
Jorhat,1388,4042.37,,12134.71,357,632.86,107,519.05,2,2.28,42,518.36,15779,17849.63
Kamrup Metro,1450,1143.69,,53601.12,260,166.36,24,73.21,0,1.46,21,116.48,86379,55102.32
Karbi Anglong,3458,3324.26,,1473.26,73,198.9,7,18.4,1,0.18,7,29.41,4764,5044.41
Karimganj,924,664.14,,34323.76,22,25.43,11,38.7,0,0,7,17.03,55159,35069.06
Kokrajhar,4744,3453.17,,13711.48,4,5.89,11,7.84,2,37.42,5,7.85,26810,17223.65
Lakhimpur,1519,967.65,,20289.96,46,133.24,37,44.72,23,13.35,3,5.21,35347,21454.13
Majuli,10,6.57,,371.53,1,0.62,0,0,0,0,0,0,639,378.72
Morigaon,114,219.68,,24792.48,16,79.22,3,3.19,3,3.47,6,31.65,45743,25129.69
Nagaon,1176,1214.53,,96538.78,68,64.97,140,308.12,32,7.5,30,102.7,170420,98236.6
Nalbari,86,87.91,,26081.98,40,30.19,28,29.38,3,2.4,21,547.19,41227,26779.05
Sivasagar,729,872.31,,21868.51,162,163.5,52,90.87,1,2.5,15,49.71,22501,23047.4
Sonitpur,1841,3376.76,,28539.26,191,721.04,62,197.53,3,0.75,21,123.67,50502,32959.01
South Salmara,11,5.8,,7613.22,0,0,0,0,0,0,0,0,5033,7619.02
Tinsukia,1898,4504.94,,9194.18,534,1883.23,162,1542.09,2,0.84,41,410.96,13188,17536.24
Udalguri,5971,10767,,7946.52,18,8.51,5,4.91,5,2.58,5,1.78,12890,18731.3
West Karbi Anglong,461,1679.51,,127.63,1,0.92,5,1.62,1,0.29,0,0,510,1809.97
