District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Minority Disb No.,Total Minority Disb Amt
Baksa,45,31.73,89.17,2,8,0,0,0,0,2,0,555,128.9
Barpeta,48,37.33,2300.27,6,2,7,2.15,0,0,8,265.12,20639,2606.87
Biswanath,45,18.22,360.56,3,4.37,5,0,1,1.6,1,0,1423,384.75
Bongaigaon,282,125.54,1085.86,284,143.7,6,21.58,0,0,4,34.33,6395,1411.01
Cachar,594,82.11,2279.33,6,5.16,14,5.2,0,0,4,41.98,15720,2413.78
Charaideo,15,9.5,79.27,17,0.55,2,6,1,0,0,0,259,95.32
Chirang,170,20.32,252.86,7,2.55,0,0,0,0,0,0,1332,275.73
Darrang,46,30.63,712.43,7,8.92,1,0,0,0,1,0,7815,751.98
Dhemaji,20,17.79,34.04,4,6.18,3,9.5,0,0,0,0,120,67.51
Dhubri,23,9.55,1492.12,0,0,2,0.01,0,0,8,24,16263,1525.68
Dibrugarh,297,166.89,1168.88,74,42.16,94,107.04,0,0,15,64.97,2394,1549.94
Dima Hasao,1666,176.36,69.11,1,0,3,0,0,0,0,0,1832,245.47
Goalpara,220,51.03,826.41,1,0.01,4,0,0,0,0,0,6534,877.45
Golaghat,304,48.5,405.93,135,54.25,15,1.64,0,0,5,0.67,3076,510.99
Hailakandi,43,9.75,872.2,2,3.55,1,0,0,0,1,0.45,7895,885.95
Hojai,56,27.62,518.41,1,0,12,1.8,0,0,0,0,6555,547.83
Jorhat,197,60.9,551.91,220,122.57,28,30.37,1,0,18,226.61,1890,992.36
Kamrup Metro,186,58.86,1057.47,184,116.46,9,0,0,0,4,86.44,12161,1319.23
Karbi Anglong,493,151.54,43.33,41,10.35,3,0,0,0,4,7.14,792,212.36
Karimganj,103,39.46,1724.66,1,4.57,7,2.55,0,0,2,9,6120,1780.24
Kokrajhar,436,154.67,246.83,1,0,4,0,0,0,0,0,2265,401.5
Lakhimpur,128,38.18,937.77,5,0,12,3.01,2,0.7,1,0,5169,979.66
Majuli,2,4,9.14,1,0,0,0,0,0,0,0,11,13.14
Morigaon,27,9.14,378.34,1,0,1,0,0,0,0,0,2535,387.48
Nagaon,332,1056.97,2227.82,52,22.22,76,95.94,0,0,3,7.5,30801,3410.45
Nalbari,12,13.01,639.62,0,0,2,0,0,0,4,125.52,3971,778.15
Sivasagar,71,26.52,827.67,80,38.63,8,15.02,1,0,1,0.5,3658,908.34
Sonitpur,297,109.27,1489.61,41,217.05,32,0.06,0,0,4,20.77,3496,1836.76
South Salmara,3,4,260.69,0,0,0,0,0,0,0,0,1664,264.69
Tinsukia,474,187.25,566.38,143,108.13,48,59.2,3,10.38,5,10.98,1468,942.32
Udalguri,2937,269.51,346.22,0,0,1,0,0,0,0,0,5496,615.73
West Karbi Anglong,94,29.04,9.25,0,0,1,0.25,0,0,0,0,128,38.54
