District,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt.%
Baksa,867,54.93,274,441.11,867,54.93,274,441.11,3919,3573.26,1220,666.3,18.65
Barpeta,1107,132.69,237,388.88,1107,132.69,237,388.88,5748,4622.88,2021,1207.82,26.13
Biswanath,985,91.35,345,576.85,985,91.35,345,576.85,5517,4484.32,2056,1082.03,24.13
Bongaigaon,937,88.37,195,378.56,937,88.37,195,378.56,2283,2195.24,269,140.37,6.39
Cachar,837,48.69,255,382.55,837,48.69,255,382.55,4476,3678.61,1247,758.62,20.62
Charaideo,332,26.96,143,413.77,332,26.96,143,413.77,2223,2030.45,340,197.89,9.75
Chirang,924,49.69,135,282.82,924,49.69,135,282.82,2582,2545.92,618,547.74,21.51
Darrang,1054,84.54,201,372.26,1054,84.54,202,372.26,3870,3615.67,1485,1122.14,31.04
Dhemaji,1371,91.94,450,906.55,1371,91.94,450,906.55,3807,3183.95,1077,494.53,15.53
Dhubri,3231,431.62,197,302.67,3231,431.62,197,302.67,4326,2690.3,1621,665.75,24.75
Dibrugarh,1658,167.82,518,928.98,1658,167.82,518,928.98,5413,4925.84,616,294.68,5.98
Dima Hasao,195,6.52,27,40.4,195,6.52,27,40.4,651,531.45,174,69.71,13.12
Goalpara,630,101.98,128,282.16,630,101.98,128,282.16,4212,3144.7,1242,602.27,19.15
Golaghat,1495,127.46,430,885.91,1495,127.46,430,885.91,5279,5608.58,697,394.19,7.03
Hailakandi,809,74.3,57,69.58,809,74.3,57,69.58,2170,1576.33,722,334.87,21.24
Hojai,796,85.4,149,198.02,796,85.4,149,198.02,2719,2456.89,382,195.03,7.94
Jorhat,877,82.03,323,675.94,877,82.03,323,675.94,4536,4839.32,639,462.08,9.55
Kamrup Metro,829,44.44,411,758.05,829,44.44,411,758.05,6524,5928.84,1991,1292.51,21.8
Karbi Anglong,250,10.97,87,163.87,250,10.97,87,163.87,2920,1992.36,1075,346.68,17.4
Karimganj,617,26.34,176,259.63,617,26.34,176,259.63,3101,2145.59,1354,605.19,28.21
Kokrajhar,1526,77.99,82,174.02,1526,77.99,82,174.02,2476,2171.8,831,726.95,33.47
Lakhimpur,1635,132.12,449,792.48,1635,132.12,449,792.48,5443,5594.01,978,668.76,11.95
Majuli,45,1.38,35,64.29,45,1.38,35,64.29,995,929.41,278,131.89,14.19
Morigaon,634,24.83,130,209.27,634,24.83,130,209.27,4949,3685.82,2200,1164.91,31.61
Nagaon,3405,118.56,445,868.62,3405,118.56,445,868.62,7223,7536.75,1340,848.39,11.26
Nalbari,602,60.43,322,610.57,602,60.43,322,610.57,5322,5800.89,1172,651.28,11.23
Sivasagar,683,113.99,248,586.65,683,113.99,248,586.65,3485,3604.95,493,355.51,9.86
Sonitpur,2049,321.4,253,482.07,2049,321.4,253,482.07,6175,5273.98,2105,1092.05,20.71
South Salmara,343,21.85,12,39,343,21.85,12,39,413,265.04,184,65.58,24.74
Tinsukia,1030,79.43,518,1002.93,1030,79.43,518,1002.93,4977,4711.85,653,334.61,7.1
Udalguri,1391,101.11,125,236.71,1391,101.11,125,236.71,2963,2681.13,1036,714.23,26.64
West Karbi Anglong,316,16.47,48,78.3,316,16.47,48,78.3,2120,1124.02,1233,354.95,31.58
