district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,1036,8290.23,25,399.17,961,8290.57,13,150.65,0,0,13,150.65
Barpeta,3572,32473.36,185,4246.09,1586,14916.06,50,581.55,1,5,50,581.55
Biswanath,1612,14245.9,62,1712.4,613,5518.11,14,201.2,0,0,14,201.2
Bongaigaon,2280,19180.74,129,3337.89,259,2321.88,62,748.82,0,0,64,777.16
Cachar,4017,26289.86,291,6866.41,426,3962.87,148,1812.09,33,463.68,151,1859.25
Charaideo,418,3535.16,12,327.96,103,1041.84,2,40.57,0,0,2,40.57
Chirang,650,6661.82,19,478.69,537,5602.38,1,0.02,0,0,1,0.02
Darrang,1662,14089.76,67,1866.34,289,2656.36,16,158.17,1,15.45,17,158.17
Dhemaji,1770,16363.43,26,663.31,536,5654.67,43,412.75,0,0,43,412.75
Dhubri,2193,18635.97,49,1268.13,468,4165.41,62,543.25,7,55,62,543.25
Dibrugarh,5215,47269.3,507,12954.38,1613,14897.28,85,1274.42,17,233.09,91,1325.66
Dima Hasao,816,4497.44,10,328.37,262,992.95,2,27.09,0,0,2,27.09
Goalpara,1100,10058.42,11,223.28,260,2252.3,9,111.76,0,0,9,111.76
Golaghat,2649,22113.52,133,3639.86,699,7165.58,36,371.76,2,36.41,36,371.76
Hailakandi,1027,7398.86,8,256.6,27,138.62,26,237.63,3,23.09,26,237.63
Hojai,989,8495.92,85,1616.24,80,690.3,14,168.96,2,30.25,16,199.21
Jorhat,4831,40281.78,635,14650.96,926,9210.56,70,874.96,4,51.9,76,944.51
Kamrup Metro,3911,30820.71,294,6522.02,2356,24062.42,91,1289.66,2,33.77,91,1289.66
Karbi Anglong,2610,23659.42,33,898.83,1398,13104.15,3,71.42,2,61.5,3,71.42
Karimganj,1257,7098.21,79,1922.14,217,1555.56,26,259.62,2,20.76,26,259.62
Kokrajhar,1216,11759.59,81,2338.7,320,4079.23,3,32.54,0,0,4,45.14
Lakhimpur,3576,29235.75,116,3412.18,649,6298.37,55,592.21,1,9.95,55,592.21
Majuli,251,1492.55,2,86,81,792.8,10,99.2,0,0,10,99.2
Morigaon,1692,11351.01,44,718.29,764,4010.1,62,661.19,5,84.89,65,702.78
Nagaon,4403,34625.2,254,4655.48,1154,11088.52,60,647.08,6,107.04,62,678.73
Nalbari,2958,23115.59,142,2345.5,877,5854,49,930.75,1,13.74,49,930.75
Sivasagar,2953,23765.71,209,4837.07,587,6002.68,42,638.91,3,45.11,42,638.91
Sonitpur,3815,31306.3,446,9662.52,825,7247.58,57,687.68,1,5,60,728.61
South Salmara,254,2618.91,0,0,112,1059.87,0,0,0,0,0,0
Tinsukia,3222,28748.27,365,7987.78,706,6717.44,71,849.05,6,114.07,71,849.05
Udalguri,1667,16820.67,3,50.13,403,4383.11,3,28.23,0,0,3,28.23
West Karbi Anglong,654,6543.94,0,0,654,6543.94,0,0,0,0,0,0
