district,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Baksa,26013,17906.22,134,3574.29,3,163.24,786,393.29,26936,22037.04
Barpeta,85156,57517.19,819,7934.89,35,1158.51,1462,667.21,87472,67277.8
Biswanath,30598,18535.85,244,4406.09,22,2034.8,1379,569.51,32243,25546.25
Bongaigaon,48008,32853.25,984,11969.74,36,2199.49,1314,599.88,50342,47622.36
Cachar,165150,116491.91,1400,20526.41,134,6426.47,525,357.29,167209,143802.08
Charaideo,10443,9688.04,96,1417.49,4,47.22,108,27.63,10651,11180.38
Chirang,21148,13712.73,111,2851.89,2,152.06,425,284.8,21686,17001.48
Darrang,55049,33724.93,314,4251.96,18,364.78,242,65.41,55623,38407.08
Dhemaji,29706,15981.88,319,4112.63,10,797.09,645,244.34,30680,21135.94
Dhubri,79325,44591.35,344,3151.35,13,673.21,459,177.94,80141,48593.85
Dibrugarh,74120,96497.28,2033,49783.29,112,9288.61,1613,1346.44,77878,156915.62
Dima Hasao,1729,2894.25,85,458.32,2,0.2,102,30.96,1918,3383.73
Goalpara,42543,25415.28,178,1876.55,6,270.07,647,313.84,43374,27875.74
Golaghat,56565,35450.3,1017,16305.46,21,744.32,1481,653.02,59084,53153.1
Hailakandi,29284,17851.93,262,3432.36,32,115.13,372,207.72,29950,21607.14
Hojai,35591,23229.07,402,2922.7,6,89.11,380,337.6,36379,26578.48
Jorhat,53661,61156.52,1345,41961.48,116,11749.63,1016,593.05,56138,115460.68
Kamrup Metro,124275,82631.99,683,9219.3,32,7115.2,1810,1059.09,126800,100025.58
Karbi Anglong,15499,7995.47,111,1341.47,5,288.24,138,84.05,15753,9709.23
Karimganj,72203,47712.56,413,4377.7,17,770.19,887,509.81,73520,53370.26
Kokrajhar,25525,18245.83,65,831.75,5,45.1,363,273.07,25958,19395.75
Lakhimpur,62564,40919.9,817,10886.31,18,251.31,3470,1746.54,66869,53804.06
Majuli,3517,4163.4,47,542.54,0,0,274,112.32,3838,4818.26
Morigaon,29674,23899.32,331,2541.34,7,191.31,372,1051.11,30384,27683.08
Nagaon,95448,71442.66,1392,19352.21,35,2728.94,841,338.04,97716,93861.85
Nalbari,52074,30633.65,293,4855.18,21,502.21,793,475.74,53181,36466.78
Sivasagar,42432,38596.64,1148,17613.31,20,5244.77,1354,559.17,44954,62013.89
Sonitpur,73871,69542.85,1690,20247.71,94,4997.64,795,4510.33,76450,99298.53
South Salmara,1460,2408.72,1,7.58,0,0,31,103.9,1492,2520.2
Tinsukia,58413,68362.49,1576,30056.2,51,5516.52,793,506.27,60833,104441.48
Udalguri,20296,14712.38,58,597.97,1,1.86,371,422.88,20726,15735.09
West Karbi Anglong,1671,606.67,7,53.57,0,0,3,23.78,1681,684.02
