district,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,12,223253,188006,36031,8070
Barpeta,21,678260,560066,300040,24061
Biswanath,5,131561,107115,29887,9570
Bongaigaon,5,198358,162801,43799,5119
Cachar,36,297576,213308,121494,13008
Charaideo,5,68188,56490,7078,3985
Chirang,5,162716,142580,13127,6469
Darrang,11,260625,216406,75430,15497
Dhemaji,18,305610,283372,37469,9442
Dhubri,25,440253,399037,95275,11924
Dibrugarh,60,284209,211938,135450,22288
Dima Hasao,7,23935,17904,68828,185
Goalpara,16,256366,230423,45479,12400
Golaghat,23,206693,165209,65150,18946
Hailakandi,37,153400,121062,98060,7706
Hojai,8,233249,199736,104533,8073
Jorhat,51,181295,121859,95826,19485
Kamrup Metro,41,383873,284945,93857,26017
Karbi Anglong,16,110379,67787,61921,3784
Karimganj,11,175301,153537,59078,3766
Kokrajhar,4,242807,222242,61935,10235
Lakhimpur,6,318698,290689,49999,15002
Majuli,21,31631,27739,10018,2347
Morigaon,12,134368,102056,91309,13494
Nagaon,91,532939,466712,292706,21838
Nalbari,19,155681,123723,75210,12340
Sivasagar,7,135320,112708,46599,8935
Sonitpur,39,304819,243905,123389,13249
South Salmara,15,97065,91477,23172,1389
Tinsukia,49,240213,152850,210268,20768
Udalguri,14,266707,247330,27865,13366
West Karbi Anglong,6,31711,31003,18911,798
