district,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Baksa,0,0,1,1.45,58,231.56,1,0.04,9,22.13,1,2,70,257.18,453,218.54
Barpeta,0,0,21,19.64,193,781.04,19,4.89,21,30.58,22,19.07,276,855.22,1422,1585.4
Biswanath,0,0,9,14.41,42,126.11,0,0,18,28.81,2,2,71,171.33,364,326.44
Bongaigaon,0,0,5,6.96,162,892.64,52,16.23,9,7.75,256,119,484,1042.58,2263,1000.55
Cachar,0,0,84,60.31,332,751.67,0,0,102,135.37,4,4,522,951.35,2999,2472.86
Charaideo,0,0,6,2.17,34,200.41,0,0,17,13,0,0,57,215.58,227,164.18
Chirang,0,0,2,1.61,69,198.81,5,1.35,16,41.16,0,0,92,242.93,727,250.82
Darrang,0,0,22,17.07,229,288.77,20,6.28,31,51.67,6,8.3,308,372.09,945,768.87
Dhemaji,0,0,9,4.91,117,756.18,1,3.86,11,37.86,0,0,138,802.81,464,358.54
Dhubri,0,0,10,11.1,251,886.03,0,0,24,26.89,1,0.02,286,924.04,779,814.29
Dibrugarh,0,0,49,66.57,226,956.77,1,0.09,89,138.26,8,22.48,373,1184.17,1809,2065.88
Dima Hasao,0,0,3,1.61,19,135.22,0,0,72,391.58,8,13,102,541.41,43,36.84
Goalpara,0,0,2,5.68,78,474.25,0,0,20,40.49,1,1,101,521.42,774,658.24
Golaghat,0,0,26,23.52,93,440.06,1,24.8,92,141.12,136,56.11,348,685.61,3297,1652.57
Hailakandi,0,0,6,2.25,29,101.51,0,0,20,29.32,1,0.18,56,133.26,1463,1170.28
Hojai,0,0,9,5.95,44,199.71,0,0,11,19.59,0,0,64,225.25,358,357.49
Jorhat,0,0,50,61.23,216,883.43,2,0.12,56,96.2,135,53.25,459,1094.23,1539,1259.08
KARIMGANJ,0,0,7,3.9,79,253.61,0,0,33,69.45,0,0,119,326.96,3358,2262.08
Kamrup,0,0,84,61.11,283,791.38,59,19.59,25,34.91,422,154.06,873,1061.05,2997,1553.52
Kamrup Metro,0,0,228,317.16,696,3175.07,1,0.04,61,97.1,917,338.68,1903,3928.05,2942,5273.72
Karbi Anglong,0,0,11,7.39,287,1484.08,0,0,150,1022.27,13,6.94,461,2520.68,559,413.12
Kokrajhar,0,0,3,19.3,88,381.6,1,1.8,35,43.96,1,0.38,128,447.04,506,420.73
Lakhimpur,0,0,25,14.45,373,2211.75,2,0.36,31,90.23,0,0,431,2316.79,567,625.25
Majuli,0,0,2,1.72,13,97.88,0,0,3,0.54,0,0,18,100.14,61,41.68
Morigaon,0,0,6,11.36,96,249.86,2,2.15,22,47.1,0,0,126,310.47,618,459.32
Nagaon,0,0,27,29.54,216,1040.83,6,4.15,67,108.73,312,144.5,628,1327.75,1617,1503.23
Nalbari,0,0,22,14.77,171,587.39,1,26,27,49.06,50,80.55,271,757.77,759,929.81
Sivasagar,0,0,24,20.94,145,592.82,1,0.17,68,95.04,95,47.63,333,756.6,1066,611081.68
Sonitpur,0,0,36,142.51,193,695.24,60,44.64,26,33.37,56,43.04,371,958.8,1493,141526.05
South Salmara,0,0,0,0,35,128.22,0,0,1,1,0,0,36,129.22,24,85.47
Tinsukia,0,0,49,45.67,122,707.19,0,0,34,49.21,4,0.53,209,802.6,1776,72164.69
Udalguri,0,0,23,18.28,182,867.65,0,0,15,46.58,0,0,220,932.51,466,353.51
West Karbi Anglong,0,0,1,0.68,56,226.33,0,0,44,122.56,11,0.4,112,349.97,54,35.72
