District,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt,MSME NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,OTHER(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Amt %
Baksa,43996,22000.32,12459,6718.27,30.54,26936,22037.04,6045,5203.35,23.61,1791,12114.47,413,799.02,6.6,72723,56151.83,18917,12720.64,22.65
Barpeta,126220,62707.63,39033,17292.59,27.58,87472,67277.8,13052,12222.86,18.17,6866,33424.86,1345,1794.46,5.37,220558,163410.29,53430,31309.91,19.16
Biswanath,56542,33158.3,15138,6775.79,20.43,32243,25546.25,6798,3506.19,13.72,2702,17084.21,257,618.02,3.62,91487,75788.76,22193,10900,14.38
Bongaigaon,35788,18162.82,5795,2756,15.17,50342,47622.36,3988,4008.62,8.42,11813,23127.66,621,734.05,3.17,97943,88912.84,10404,7498.67,8.43
Cachar,107240,63512.52,26232,15591.12,24.55,167209,143802.08,10912,12077.11,8.4,11421,33323.47,2325,1486.89,4.46,285870,240638.07,39469,29155.12,12.12
Charaideo,23355,12774.03,4943,2527.15,19.78,10651,11180.38,3262,2481.49,22.2,2864,5866.79,135,491.25,8.37,36870,29821.2,8340,5499.89,18.44
Chirang,33018,18640.8,8511,4626.83,24.82,21686,17001.48,3714,3595.65,21.15,1420,8351.54,227,214.32,2.57,56124,43993.82,12452,8436.8,19.18
Darrang,82120,41842.96,27248,13666.64,32.66,55623,38407.08,8874,7657.34,19.94,4406,16558.89,367,774.49,4.68,142149,96808.93,36489,22098.47,22.83
Dhemaji,44586,24893.4,12115,6453.27,25.92,30680,21135.94,5156,4394.18,20.79,2889,17238.19,138,413.24,2.4,78155,63267.53,17409,11260.69,17.8
Dhubri,77581,39773.67,32132,16008.48,40.25,80141,48593.85,12624,8109.66,16.69,3237,20272.78,753,1031.86,5.09,160959,108640.3,45509,25150,23.15
Dibrugarh,143202,94431.62,58058,25965.63,27.5,77878,156915.62,16177,17045.21,10.86,19341,57891.26,5676,3292.7,5.69,240421,309238.5,79911,46303.54,14.97
Dima Hasao,3188,1731.44,1215,454.45,26.25,1918,3383.73,163,215.66,6.37,878,4621.24,26,95.57,2.07,5984,9736.41,1404,765.68,7.86
Goalpara,55373,27960.01,13542,7583.58,27.12,43374,27875.74,6823,6145.93,22.05,5651,11762.86,1388,877.73,7.46,104398,67598.61,21753,14607.24,21.61
Golaghat,148300,75138.53,56944,21102.53,28.08,59084,53153.1,9555,7156.82,13.46,11850,26476.03,3665,1324.86,5,219234,154767.66,70164,29584.21,19.12
Hailakandi,29249,15948.05,8575,4291.28,26.91,29950,21607.14,3085,3002.67,13.9,1338,8202.88,134,344.15,4.2,60537,45758.07,11794,7638.1,16.69
Hojai,50589,26853.18,14490,7194.9,26.79,36379,26578.48,5187,3060.66,11.52,2202,21283.83,182,1737.92,8.17,89170,74715.49,19859,11993.48,16.05
Jorhat,119468,76266.33,49670,19578.55,25.67,56138,115460.68,12135,13874.59,12.02,22711,49882.14,7029,2470.23,4.95,198317,241609.15,68834,35923.37,14.87
Kamrup Metro,144013,72788.22,38603,19603.62,26.93,126800,100025.58,16316,13872.9,13.87,47443,51500.29,10460,2396.1,4.65,318256,224314.09,65379,35872.62,15.99
Karbi Anglong,44256,19587.31,9139,3947.81,20.15,15753,9709.23,858,1046.48,10.78,3935,24585.38,381,351.7,1.43,63944,53881.92,10378,5345.99,9.92
Karimganj,64085,37661.77,15110,7519.65,19.97,73520,53370.26,6650,5425.21,10.17,4892,13790.75,1845,1251.84,9.08,142497,104822.78,23605,14196.7,13.54
Kokrajhar,40104,21005.71,9656,5258.83,25.04,25958,19395.75,5541,5711.64,29.45,1683,13203.76,336,328.27,2.49,67745,53605.22,15533,11298.74,21.08
Lakhimpur,114645,60023.05,34007,16328.12,27.2,66869,53804.06,10940,9388.12,17.45,6857,38250.49,765,2293.25,6,188371,152077.6,45712,28009.49,18.42
Majuli,8847,4622.19,2834,1528.11,33.06,3838,4818.26,969,701.09,14.55,1952,8733.71,81,891.49,10.21,14637,18174.16,3884,3120.69,17.17
