district,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Baksa,1651,452.54,886,276.74,1813,2740.03,655,880.6,129,778.21,21,121.05,3593,3970.78,1562,1278.39,32.19493399281753
Barpeta,30352,8084.53,6005,1312.49,19755,19855.9,1519,2534.38,919,4618.78,92,562,51026,32559.21,7616,4408.87,13.541084074214332
Biswanath,7140,2471.81,792,286.73,6208,6027.02,399,541.26,184,1010.72,18,76.4,13532,9509.55,1209,904.39,9.510334348102697
Bongaigaon,12391,3866.12,527,152.48,9865,8590.64,306,357.31,481,2415.6,31,157.93,22737,14872.36,864,667.72,4.489670771821016
Cachar,43052,17292.11,2868,518.93,38728,44601.41,683,1163.86,865,4310.84,47,254.52,82645,66204.36,3598,1937.31,2.926257424737585
Charaideo,2607,756.02,507,186.6,2479,2492.44,237,375.44,144,878.44,14,66.57,5230,4126.9,758,628.61,15.232014344907801
Chirang,4031,1315.13,440,133.41,4434,4322.43,664,930.15,131,598.31,17,82.56,8596,6235.87,1121,1146.12,18.379472311000708
Darrang,13853,4338.68,968,311.26,10564,10543.48,895,1503.1,493,2759.16,119,589.68,24910,17641.32,1982,2404.04,13.627324939403627
Dhemaji,6766,1706.68,644,197.93,5841,6017.36,410,697.01,339,2141.41,44,280.43,12946,9865.45,1098,1175.37,11.91400290914251
Dhubri,24967,8402.66,846,352.46,24716,21797.09,891,1226.59,531,2914.98,52,284.37,50214,33114.73,1789,1863.42,5.627163500955617
Dibrugarh,22273,4739.02,4605,981.72,13533,15308.03,1065,1649.4,1773,10097.04,192,1148.48,37579,30144.09,5862,3779.6,12.5384445176484
Dima Hasao,684,121.92,84,23.84,967,1668.99,65,82.7,520,2206.82,13,57.95,2171,3997.73,162,164.49,4.114585027002824
Goalpara,12675,2956.3,1293,244.24,7203,6388.28,413,424.21,173,778.62,15,51.32,20051,10123.2,1721,719.77,7.110103524577208
Golaghat,27570,5983.58,10408,1960.24,12875,12684.24,889,1208.75,867,5808.46,126,768.77,41312,24476.28,11423,3937.76,16.08806567011
Hailakandi,7049,2499.42,302,93.31,9146,9147.12,351,519.65,265,1577.15,26,151.2,16460,13223.69,679,764.16,5.778719858072898
Hojai,6889,2451.53,573,176.78,6690,9047.25,484,654.9,606,3655.04,66,409.93,14185,15153.82,1123,1241.61,8.193379623091735
Jorhat,40092,7615.93,20007,3464.64,13207,13494.1,991,1151.45,1051,6218.1,101,572.66,54350,27328.13,21099,5188.75,18.986846154493556
KARIMGANJ,24319,8054.95,2202,469.18,21574,21138.46,434,831.7,536,3068.55,23,124.59,46429,32261.96,2659,1425.47,4.41842343118645
Kamrup,61890,14600.67,12021,1998.38,33582,29019.53,2269,2425.93,1177,5510.47,132,781.53,96649,49130.67,14422,5205.84,10.595906793048009
Kamrup Metro,62413,14894.4,14842,2606.61,36465,36919.94,3331,3292.33,3397,19517.57,402,2223.56,102275,71331.91,18575,8122.5,11.386909449081063
Karbi Anglong,2443,450.53,336,68.6,1476,2227.75,212,325,1229,5330.57,45,237.43,5148,8008.85,593,631.03,7.879158680709464
Kokrajhar,2079,524,614,185.15,1718,2579.42,779,1071.29,130,770.56,12,71.39,3927,3873.98,1405,1327.83,34.275602868367926
Lakhimpur,9071,3113.86,1235,392.55,9886,10774.13,1057,1610.56,665,3544.82,121,615.18,19622,17432.81,2413,2618.29,15.019322759784565
Majuli,535,180.65,159,66.1,424,606.6,84,93.49,58,400.42,7,30.67,1017,1187.67,250,190.26,16.01960140443052
Morigaon,7652,2340.97,883,241.95,9534,10676.93,727,1101.26,676,4025.48,102,516.69,17862,17043.38,1712,1859.9,10.912741486723878
Nagaon,39134,9270.41,11913,2061.4,22514,22494.95,2117,2823.79,1367,7214.16,404,2096.68,63015,38979.52,14434,6981.87,17.91163667484874
Nalbari,22706,5221.08,7712,1370.88,8628,8397.58,1212,1263.15,303,1619.08,49,302.31,31637,15237.74,8973,2936.34,19.270180486082584
Sivasagar,8846,2542.9,1028,334.82,9802,9334.68,685,963.79,773,4130.52,76,436.68,19421,16008.1,1789,1735.29,10.84007471217696
Sonitpur,26236,7074.39,5046,1085.58,16781,16592.39,931,1253.11,919,4720.83,79,415.17,43936,28387.61,6056,2753.86,9.700922339006349
South Salmara,195,45.11,41,13.68,459,568.23,189,240.68,32,199.24,4,29.02,686,812.58,234,283.38,34.87410470353688
Tinsukia,12413,3563.89,959,279.08,14126,14341.94,880,1205.01,1274,7286.88,59,396.8,27813,25192.71,1898,1880.89,7.466009016100293
Udalguri,1630,410.17,735,231.75,1768,2277.62,816,833.67,106,626.99,9,44.66,3504,3314.78,1560,1110.08,33.488798653304286
West Karbi Anglong,358,55.69,105,23.55,190,318.23,33,47.08,313,1223.09,15,100.64,861,1597.01,153,171.27,10.724416252872556
