District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,Os No.,of which girl student Os No.,Os amt,of which girl student Os Amt
Baksa,4,3,7.05,6.95,1,1,1.45,1.45,65,20,203.84,75.23
Barpeta,11,5,19.16,7.45,21,5,48.75,12.98,383,118,1227.25,339.95
Biswanath,5,3,12.18,2.3,9,4,31.34,10.16,136,60,389.47,170.67
Bongaigaon,4,3,5.77,4.05,5,3,13.21,6.41,118,35,477.34,142.75
Cachar,19,6,52.29,6.03,84,12,295.99,20.9,1009,212,2905.54,602.58
Charaideo,0,0,0,0,6,2,23.36,1.1,71,22,217.72,79.23
Chirang,1,1,1.71,1.71,2,0,5.6,0,68,14,235.68,35.76
Darrang,6,3,14.13,9.14,22,7,51.98,11.33,320,120,887.69,338.41
Dhemaji,4,3,9.71,8.21,9,3,13.5,5.97,150,56,360.23,149.88
Dhubri,2,0,3.58,0,10,2,37.96,7.85,181,31,579.21,127.59
Dibrugarh,12,8,40.11,31.67,45,20,182.97,95.27,850,310,2977.49,1122.62
Dima Hasao,0,0,0,0,3,0,5.48,0,22,8,62.61,28.87
Goalpara,3,1,7.98,5,2,1,6.55,5,121,32,453.78,116.47
Golaghat,7,4,14.11,9.25,26,12,152.38,120.73,311,111,1007.24,395.72
Hailakandi,2,1,1.81,0.01,5,3,7.27,5.11,93,23,196.86,62.81
Hojai,2,0,8.99,0,9,6,20.1,6.68,128,35,375.55,96.28
Jorhat,12,8,40.74,20.4,50,23,205.18,130.31,701,291,2749.17,1179.02
Kamrup Metro,24,11,83.05,53.56,87,27,220.12,82.63,1079,231,3257.35,763.87
Karbi Anglong,4,2,3.57,2.36,10,3,21.51,0.42,109,38,288.68,103.43
Karimganj,1,0,1.84,0,5,1,13.72,2.07,101,29,285.03,74.68
Kokrajhar,4,1,34.11,12.88,3,0,16.42,0,90,19,262.88,69.52
Lakhimpur,8,5,11.89,8.56,21,11,45.01,21.91,288,109,766.56,283
Majuli,1,0,0.68,0,2,1,2.76,1.6,39,6,72.36,14
Morigaon,1,0,7.83,0,6,2,17.84,1.69,118,36,354.21,121.97
Nagaon,5,3,33.9,28.9,27,8,59.74,26.35,321,95,1099.56,317.44
Nalbari,3,0,2.81,0,21,12,99.77,51.26,318,92,1093.16,384.84
Sivasagar,7,5,7.16,4.45,24,10,58.24,32.53,295,118,820.28,317.82
Sonitpur,17,28,127.51,7.06,36,17,201.26,51.65,436,155,1345.7,521.38
South Salmara,1,0,2.31,0,0,0,0,0,17,2,50.04,6.25
Tinsukia,14,8,45.17,27.74,52,26,173.89,74.29,545,180,1819.08,537.63
Udalguri,9,8,11.74,11.15,25,22,57.95,51.85,211,120,541.77,282.8
West Karbi Anglong,1,0,2.2,0,1,0,1.73,0,19,5,45.33,14.1
