district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,29735.42,93.53,557918.03,56.88,,46.65,52273.18,0.00,1195967.34,47.09,587746.98,1248240.52
Champhai,4303.52,32037.40,403.84,58.69,65.91,,7332.49,48606.14,0.00,65.69,36744.76,55938.63
Hnahthial,10299.80,1185.62,0.00,60.94,87.71,,16900.30,1351.81,0.00,62.93,11485.42,18252.11
Khawzawl,6988.60,7654.98,0.00,71.66,65.12,,9752.04,11756.06,0.00,68.08,14643.58,21508.10
Kolasib,10358.17,34748.39,38.38,68.44,71.32,,15134.21,48724.36,0.00,70.70,45144.94,63858.57
Lawngtlai,18116.22,40883.04,0.00,121.49,115.02,,14911.39,35544.11,0.00,116.93,58999.26,50455.50
Lunglei,7157.18,66152.20,9218.74,52.14,73.94,76.89,13726.42,89472.89,11990.15,71.65,82528.12,115189.46
Mamit,23462.72,1906.94,0.00,71.10,118.26,,32997.35,1612.55,0.00,73.30,25369.66,34609.90
Saiha,3719.35,32799.80,0.00,125.93,92.28,,2953.56,35543.67,0.00,94.86,36519.15,38497.23
Saitual,7311.64,8177.82,0.00,43.13,51.17,,16952.06,15982.58,0.00,47.03,15489.46,32934.64
Serchhip,16841.69,20118.09,0.00,71.81,73.56,,23452.27,27349.22,0.00,72.75,36959.78,50801.49
