district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,525.67,60,561.72,58,515.52,205,14.36,3590.99,977
Champhai,47.74,16,53.67,12,24.51,12,7.23,338.89,112
Hnahthial,10.80,6,2.85,1,2.33,1,1.79,130.31,30
Khawzawl,70.98,11,96.31,12,14.38,5,5.56,258.74,57
Kolasib,45.65,9,85.50,8,220.79,60,25.31,872.33,209
Lawngtlai,8.46,4,4.75,1,39.31,21,15.19,258.84,142
Lunglei,176.05,48,166.85,40,65.25,31,6.42,1016.76,389
Mamit,42.73,7,92.34,14,44.74,22,9.33,479.49,173
Saiha,3.85,2,0.00,0,61.77,29,32.97,187.34,69
Saitual,44.99,10,50.66,8,4.96,5,1.21,409.56,96
Serchhip,38.73,10,46.96,11,32.99,17,4.97,663.55,225
