district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,14158,3960.24,176,326.30,12613008,81560997.99,195125,20256567.57,230115,68643756.19,69067,2384.35
Champhai,455,227.29,9,7.52,749022,57973.82,18499,1004.13,39495,184630.51,2899,67.94
Hnahthial,0,0.00,0,0.00,175570,5042.55,812,17.40,7252,1791.74,1372,40.71
Khawzawl,0,0.00,3,7.89,343557,9104.85,2030,105.46,7427,2127.67,1181,26.39
Kolasib,428,389.67,34,116.45,1134257,39023.43,21242,1112.86,23512,180043.19,5318,138.45
Lawngtlai,0,0.00,72,939.53,1269748,39725.96,17358,844.65,35371,12043.90,3418,132.37
Lunglei,600,124.04,66,231.00,1680922,59906.53,24139,1357.59,30781,216902.19,6824,206.55
Mamit,0,0.00,21,19.81,511790,12702.52,7809,361.40,16785,3693.98,1868,65.26
Saiha,0,0.00,13,23.83,650800,17366.86,7363,541.91,18138,4049.97,2221,68.78
Saitual,0,0.00,0,0.00,251859,7376.90,1225,56.05,18140,2902.92,1060,26.59
Serchhip,0,0.00,12,20.27,547274,15971.05,12457,463.71,25834,6779.23,3237,72.58
