district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,132.24,17,20658934.51,4879,0.00,0,563.84,90,9.00,1,20659639.59,4987,0.00,0
Champhai,0.00,0,1537.28,559,0.00,0,0.00,0,0.00,0,1537.28,559,0.00,0
Hnahthial,0.00,0,812.38,109,0.00,0,0.00,0,0.00,0,812.38,109,0.00,0
Khawzawl,10.00,2,1372.92,332,0.00,0,0.00,0,0.00,0,1382.92,334,0.00,0
Kolasib,0.00,0,762663.18,1063,0.30,1,189.07,149,0.00,0,762852.55,1213,0.00,0
Lawngtlai,449.54,215,2332.50,402,0.00,0,0.40,1,0.00,0,2782.44,618,0.00,0
Lunglei,82.20,32,4402.89,977,0.00,0,0.00,0,0.00,0,4485.09,1009,0.00,0
Mamit,55.58,41,1333.22,436,0.00,0,6.17,2,0.00,0,1394.97,479,0.00,0
Saiha,0.00,0,1359.99,172,0.00,0,0.00,0,9.00,1,1368.99,173,0.00,0
Saitual,0.00,0,1161.48,381,0.00,0,0.00,0,0.00,0,1161.48,381,0.00,0
Serchhip,10.00,1,2969.22,729,0.00,0,0.00,0,0.00,0,2979.22,730,0.00,0
