district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,91.01,18,896.31,1566,32853.02,3941,297547.47,45052
Champhai,4.99,3,171.32,601,1554.61,437,20353.52,6159
Hnahthial,0.00,0,0.47,1,814.98,111,8721.82,1798
Khawzawl,0.00,0,12.09,2,1313.58,329,8557.67,3104
Kolasib,13.70,17,205.93,380,2552.33,742,26993.47,8709
Lawngtlai,8.56,2,98.61,17,2810.91,617,43426.67,8096
Lunglei,28.29,3,205.89,410,4477.42,922,50811.06,11997
Mamit,9.54,2,17.25,6,1420.76,494,16519.55,6341
Saiha,0.00,0,26.57,6,1438.50,195,21043.31,4494
Saitual,0.00,0,0.00,0,1164.78,384,11311.12,4482
Serchhip,0.00,0,38.83,10,2997.02,734,27478.11,7817
