district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,5,1,139,68,148,172,20,1,102,145,123
Champhai,0,10,0,39,3,53,4,12,1,10,17
Hnahthial,1,1,0,8,4,12,4,0,1,2,5
Khawzawl,2,2,0,20,0,25,5,3,1,4,9
Kolasib,0,14,0,33,6,81,6,17,1,14,24
Lawngtlai,1,5,0,73,0,105,5,6,1,6,12
Lunglei,1,14,3,48,7,105,7,13,3,18,23
Mamit,4,1,0,50,0,71,12,0,1,5,13
Saiha,0,6,0,33,1,49,1,5,1,6,7
Saitual,0,2,0,17,0,17,6,3,1,2,10
Serchhip,1,6,0,34,0,66,8,6,2,7,16
