district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,113.86,62,54.45,36,4.79,3,0.92,520.03,340
Champhai,141.50,38,184.11,64,23.76,16,1.82,1307.99,418
Hnahthial,0.00,0,5.36,2,0.00,0,0.00,59.72,34
Khawzawl,38.04,13,4.37,5,10.52,8,2.62,400.86,189
Kolasib,84.42,20,81.12,35,67.54,45,9.53,709.05,298
Lawngtlai,126.74,50,23.65,14,18.45,21,6.81,270.89,204
Lunglei,21.00,11,25.74,20,0.00,0,0.00,119.56,103
Mamit,102.40,30,96.31,57,21.99,20,2.61,841.91,376
Saiha,19.94,8,25.52,14,37.73,20,6.27,601.46,321
Saitual,42.50,15,21.03,13,4.11,5,0.72,568.60,229
Serchhip,208.26,55,212.57,89,22.56,14,2.26,999.15,418
