district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,5049.56,47635,38881,60374,47177,13058,33916,26119,86516,57364
Champhai,1213.38,12550,11038,16390,8230,5022,5998,11182,23588,10546
Hnahthial,480.19,4319,4699,6814,5027,831,3153,9018,9018,0
Khawzawl,916.72,9190,6391,12318,5608,2751,5382,6666,15581,8905
Kolasib,1206.20,13110,9681,15444,12825,3959,8951,13124,22791,8370
Lawngtlai,1695.99,25469,25176,31362,23085,7507,17400,37312,50645,11225
Lunglei,2115.99,28435,30743,35190,25056,13731,19810,31459,59178,23787
Mamit,1501.42,19811,15556,26336,11977,4275,11345,35239,35367,0
Saiha,1068.60,14571,12128,14565,9919,5445,7856,8331,26699,17778
Saitual,1395.62,10041,7681,13464,5673,2381,5072,11544,17722,6176
Serchhip,1348.84,10787,8905,15507,9405,2342,8745,11778,19692,7853
