district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,136616,8172,64,39261,1136
Champhai,14859,770,6,6755,93
Hnahthial,4065,869,0,3486,15
Khawzawl,5668,558,6,5906,74
Kolasib,18029,2647,9,10368,104
Lawngtlai,22788,8329,13,18937,107
Lunglei,26594,4982,23,22353,79
Mamit,10353,937,13,12207,18
Saiha,12083,739,17915,8340,380
Saitual,5052,685,0,5953,339
Serchhip,7037,603,2,9225,102
