district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,378937,151695,521420
Champhai,57780,14555,82514
Hnahthial,18123,4000,24874
Khawzawl,25784,3572,34000
Kolasib,66460,17987,94539
Lawngtlai,82372,22862,122858
Lunglei,91816,26618,140378
Mamit,58577,9916,79167
Saiha,43543,11289,68240
Saitual,35637,4646,47100
Serchhip,52430,5509,68943
