district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,113.86,62,62,113.86,1.08,30.48,17,3.41,894.33,462,1.08,41,41
Champhai,147.47,41,41,147.47,0.53,25.96,19,2.16,1202.93,398,0.53,18,18
Hnahthial,0.00,0,0,0.00,0.10,0.00,0,0.00,61.43,35,0.10,3,3
Khawzawl,39.55,14,14,39.55,34.20,10.52,8,3.13,336.50,164,34.20,54,54
Kolasib,80.52,18,18,80.52,4.28,68.71,51,9.32,737.09,313,4.28,40,40
Lawngtlai,127.72,50,51,127.75,44.28,18.45,21,6.76,273.13,207,44.28,204,204
Lunglei,21.00,11,11,21.00,0.34,6.38,3,3.37,189.43,141,0.34,10,10
Mamit,102.40,30,30,102.40,14.64,26.85,23,2.99,897.06,427,14.64,26,26
Saiha,21.54,13,13,21.54,43.13,42.00,23,9.53,440.64,268,43.13,34,34
Saitual,38.50,15,15,38.50,0.79,4.11,5,0.69,594.70,243,0.79,31,31
Serchhip,211.47,52,53,211.77,3.87,22.56,14,2.31,975.99,414,3.87,25,25
