District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,4424.18,2386,17.16,3,0,0,254.25,13,4152.77,2370
East Jaintia Hills,13769.21,2144,0,0,72.97,1,1025.1,45,12671.14,2098
East Khasi Hills,285661.03,23800,923.91,2879,16265.99,87,42420.87,486,226050.26,20348
Eastern West Khasi Hills,3419.54,1342,0,0,0,0,10.25,1,3409.29,1341
North Garo Hills,3906.09,2459,0,0,2.97,1,41.47,7,3861.65,2451
Ri Bhoi,92632.87,4620,9.89,4,8081.52,24,25505.4,179,59036.06,4413
South Garo Hills,2077.07,1320,0,0,0,0,17.21,2,2059.86,1318
South West Garo Hills,4049.18,1595,0,0,0,0,411.82,16,3637.36,1579
South West Khasi Hills,2081.39,921,0,0,0,0,24.59,7,2056.8,914
West Garo Hills,29836.75,8150,53.34,6,1466.55,8,5541.29,396,22775.57,7740
West Jaintia Hills,27281.22,5745,0,0,22.42,1,6873.97,359,20384.83,5385
West Khasi Hills,5117.83,2002,0,0,0,0,12.49,2,5105.34,2000
