District,Medium WC A/C,Medium TL Amt,Medium TL A/C,Small WC Amt,Small WC A/C,Small TL Amt,Small TL A/C,Micro WC Amt,Micro WC A/C,Micro TL Amt,Micro TL A/C
East Garo Hills,0,0,0,190.65,3,136.94,4,467.95,101,777.4,383
East Jaintia Hills,0,0,0,692.19,11,156.1,8,1792.33,208,2930.8,307
East Khasi Hills,10,6070.76,13,11596.65,98,13864.13,153,17651.68,1361,32088.94,2944
North Garo Hills,0,2.2,1,5.67,0,16.99,2,317.17,147,903.32,596
Ri Bhoi,4,5921.96,12,6360.08,32,9761.99,65,6035.94,350,13735.4,541
South Garo Hills,0,0,0,0.08,0,0.25,3,69.17,71,257.69,242
South West Garo Hills,0,0,0,141.97,6,85.55,6,520.6,154,609.62,295
South West Khasi Hills,0,0,0,0.16,1,0.47,1,90.69,32,314.94,98
West Garo Hills,2,112.47,5,2736.28,96,1837.01,260,3098.27,516,4835.84,1088
West Jaintia Hills,0,0,0,620.62,7,672.97,57,1721.4,197,3059.36,589
West Khasi Hills,0,0,0,0,0,0,0,326.21,121,608.92,149
