District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,375.19,245,197.18,141,176.6,99,0,0,1.41,5
East Jaintia Hills,293.23,199,236.7,160,56.53,39,0,0,0,0
East Khasi Hills,4125.94,2368,2758.02,1852,1239.14,501,128,10,0.78,5
Eastern West Khasi Hills,29.46,30,19.97,26,9.49,4,0,0,0,0
North Garo Hills,294.66,180,72.73,79,221.93,101,0,0,0,0
Ri Bhoi,2374.31,1223,2157.23,1147,93.74,66,123,8,0.34,2
South Garo Hills,215.19,144,73.38,60,141.81,84,0,0,0,0
South West Garo Hills,264.08,214,198.97,166,64.53,46,0.5,1,0.08,1
South West Khasi Hills,33.14,17,29.67,13,3.47,4,0,0,0,0
West Garo Hills,2312.82,1705,1007.92,1018,1215.39,667,86.31,9,3.2,11
West Jaintia Hills,369.82,300,256.93,210,108.74,68,0,0,4.15,22
West Khasi Hills,82.69,60,41.08,31,41.61,29,0,0,0,0
