District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) Education,A/C (NPS) Education,Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,6109.22,1387,5092.01,1216,847.65,156,169.06,15,0,0,0.5,0
East Jaintia Hills,7126.15,1028,5783.99,827,1128.52,188,211.27,10,2.37,1,0,2
East Khasi Hills,244766.12,27609,208708.75,23628,21367.06,3184,11696.13,465,2971.98,327,22.2,5
North Garo Hills,5360.3,802,4981.36,741,220.25,43,158.69,18,0,0,0,0
Ri Bhoi,44522.76,5214,40391.69,4754,1223.32,248,2807.11,203,100.59,8,0.05,1
South Garo Hills,2401.72,292,2231.16,263,140.88,26,29.68,2,0,0,0,1
West Garo Hills,26029.76,4296,21570.74,3628,2875.9,543,1510.18,111,72.94,12,0,2
West Jaintia Hills,12993.77,2537,9747.65,2046,2734.64,459,495.38,26,16.1,4,0,2
West Khasi Hills,3865.04,644,2641.39,486,1032.95,144,176.86,12,13.84,2,0,0
