District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Dep Rural
East Garo Hills,63.36,74.35,60.67,66.58,37606.72,5524.81,25508.25,6573.66,59350.17,7431.27,42045.24,9873.66
East Jaintia Hills,24.15,#DIV/0!,15.91,25.31,40961.64,561.77,4256.63,36143.24,169582.14,0,26755.18,142826.96
East Khasi Hills,44.88,45.67,49.24,37.06,1222252.85,1006905.42,93956.57,121390.86,2723095.7,2204690.87,190824.93,327579.9
Eastern West Khasi Hills,39.92,17.87,34.44,51.44,22194.67,1244.49,8240.35,12709.83,55598.33,6964.47,23927.02,24706.84
North Garo Hills,73.22,#DIV/0!,60.62,79.42,34039.03,3.84,9309.62,24725.57,46490.77,0,15357.98,31132.79
Ri Bhoi,116.84,117.95,42.82,153.31,290446.79,7182.2,34297.13,248967.46,248586.14,6089.09,80105.21,162391.84
South Garo Hills,61.12,59.15,66.44,52.53,18439.96,2347.02,11121.19,4971.75,30172.1,3968.14,16738.66,9465.3
South West Garo Hills,68.72,#DIV/0!,52.79,71.22,29026.4,0,3020.6,26005.8,42236.1,0,5721.93,36514.17
South West Khasi Hills,44.35,#DIV/0!,35.33,45.89,15253.53,24.08,1861.18,13368.27,34396.55,0,5268.22,29128.33
West Garo Hills,56.93,48.10,57.23,58.38,169527.5,10020.19,108423.94,51083.37,297787.74,20832.29,189454.28,87501.17
West Jaintia Hills,31.63,25.35,38.35,26.62,100034.72,22647.89,55550.57,21836.26,316261.07,89356.77,144870,82034.3
West Khasi Hills,44.57,34.88,49.36,39.58,31719.53,3428.12,20259.31,8032.1,71169.37,9829.41,41045.57,20294.39
