District,Plantation & Horticulture Amt,Plantation Horticulture A/C No.,Farm Mechanization Amt,Farm Mechanization A/C,Forestry and Wasteland Dev Amt,Forestry and Wasteland Dev A/C No.,Crop Loan Amt,Crop Loan A/C
East Garo Hills,0,0,394.42,250,0,0,889.39,1214
East Jaintia Hills,1,1,0.14,1,0,0,617.38,746
East Khasi Hills,5.54,1,0,0,35.63,19,5194.75,5607
Eastern West Khasi Hills,0,0,0,0,2.99,1,1160.45,1276
North Garo Hills,0,0,0,0,0,0,1238.66,1674
Ri Bhoi,61.82,12,2.15,1,2.5,1,5705.73,8645
South Garo Hills,0,0,0,0,0,0,543.86,690
South West Garo Hills,5.47,1,7.14,2,0,0,1087.37,1254
South West Khasi Hills,0,0,0,0,0,0,730.67,873
West Garo Hills,0,0,54.68,29,0,0,1704.26,2133
West Jaintia Hills,11.08,2,3.24,2,0,0,1500.16,1953
West Khasi Hills,0,0,0,0,0,0,1177.95,1367
