District,Aadhaar Seeded No.,RuPay Card Activated,RuPay Card Issued No.,Deposits Held in A/c Amt,Zero Balance A/c No.,Total No. PMJDY,Female No,Male No,Urban No,Rural No
East Garo Hills,28553,10532,9721,1077.28,1922,34344,19540,14804,9272,25072
East Jaintia Hills,27664,9814,22521,4298.92,1849,52643,31405,21238,3417,49226
East Khasi Hills,89348,50827,82972,272954.1,13265,199486,115656,83830,71135,128351
Eastern West Khasi Hills,22310,8457,16856,4012.29,1994,42765,25906,16859,6214,36551
North Garo Hills,42593,21451,25638,1427.2,1629,66684,37895,28789,7357,59327
Ri Bhoi,44470,23425,41157,5254.69,4488,92741,55356,37385,22437,70304
South Garo Hills,22375,5877,6603,908.15,2320,33123,17789,15334,12697,20426
South West Garo Hills,47538,15100,20437,2016.35,1843,64072,33521,30551,4562,59510
South West Khasi Hills,12845,9600,13658,1354.02,1825,25802,15938,9864,6231,19571
West Garo Hills,144270,49262,83471,12474.57,14499,238857,136903,101954,33229,205628
West Jaintia Hills,38358,14112,30668,6180.29,4223,87117,56357,30760,21215,65902
West Khasi Hills,21942,9031,24010,3126.75,2292,60842,33655,27187,12223,48619
