District,SUI Amt. % NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
East Garo Hills,22.22,1,85.34,5,0,0,0,0,0,0,0,0
East Jaintia Hills,28.34,9,1146.78,47,17.52,3,0,0,0,0,17.52,3
East Khasi Hills,18.94,15,3278.65,246,511.69,55,185.56,26,8.1,3,318.03,26
North Garo Hills,0,0,32.32,3,0.61,3,0.36,1,0,0,0.25,2
Ri Bhoi,32.49,6,846.28,45,137.18,20,33.67,3,0,0,103.51,17
South Garo Hills,0,0,38.25,3,0,0,0,0,0,0,0,0
South West Garo Hills,4.3,1,242.38,10,0.96,4,0,0,0,0,0.96,4
South West Khasi Hills,0,0,17.37,1,0,0,0,0,0,0,0,0
West Garo Hills,8.79,7,839.02,62,88.67,24,13.15,8,0,0,75.52,16
West Jaintia Hills,16.95,4,649.22,31,35.03,4,1.28,1,0,0,33.75,3
West Khasi Hills,38.57,2,17.71,3,0,0,0,0,0,0,0,0
