District,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,300,229.5,30133,381829.72
Barpeta,442,627.75,28832,8171.36
Biswanath,361,519.1,13485,3335.5
Bongaigaon,481,515.73,8881,3873.19
Cachar,556,453.35,6435,2394.74
Charaideo,146,158.1,5038,1157.46
Chirang,145,195.21,3640,792.07
Darrang,200,292.15,13176,3961.17
Dhemaji,195,260.66,15547,3934.38
Dhubri,107,151.96,4921,1115.74
Dibrugarh,345,435.79,33620,8481.6
Dima Hasao,101,136.6,454,375.63
Goalpara,166,279.79,12756,4018.21
Golaghat,473,702.06,32246,8412.79
Hailakandi,205,257.4,1616,539.5
Hojai,131,182.54,8840,2194.11
Jorhat,466,591.71,52586,12006.38
Kamrup Metro,324,502.93,60268,14107.05
Karbi Anglong,1164,1668.98,8857,3288.46
Karimganj,338,356.85,5820,2171.69
Kokrajhar,311,354.54,626,493.94
Lakhimpur,592,821.47,30414,9444.76
Majuli,57,72.1,2766,532.44
Morigaon,127,182.96,8655,2672.09
Nagaon,561,630.96,42045,10956.02
Nalbari,231,298.06,24772,5954.29
Sivasagar,438,537.37,21938,6663.73
Sonitpur,434,513.56,25699,5886.24
South Salmara,49,72.24,55,74.99
Tinsukia,386,520.8,18587,4681.2
Udalguri,91,119.41,9688,2156.09
West Karbi Anglong,274,384.6,1468,755.96
