District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Baksa,1035,8642.23,42,616.55,1259,8549.82,13,150.65,0,0,13,150.65
Barpeta,3543,32587.91,199,4559.51,2534,15768.86,53,615.25,4,20.27,53,615.25
Biswanath,1477,13080.04,46,1260.31,1024,5802.25,14,201.2,0,0,14,201.2
Bongaigaon,2227,19266.39,210,4859.48,398,2411.35,62,748.86,2,47.5,66,800.62
Cachar,4259,29222.4,285,6650.98,701,4447.15,148,1805.9,2,34.58,151,1852.89
Charaideo,415,3529.79,12,332.05,159,1073.43,2,40.57,0,0,2,40.57
Chirang,392,4170.8,10,266.66,846,5768.71,1,0.02,0,0,1,0.02
Darrang,1705,14886.21,113,2661.83,384,2815.27,17,175.45,1,17.28,18,175.45
Dhemaji,1759,16443.55,28,599.84,909,5915.95,43,411.61,0,0,43,411.61
Dhubri,2413,21535.6,50,1316.21,721,4307.34,90,617.45,7,55,90,617.45
Dibrugarh,5354,48735.28,659,15751.95,2521,16535.08,88,1312.31,2,31.26,94,1362.91
Dima Hasao,793,4542.09,6,227.07,284,991.92,2,27.09,0,0,2,27.09
Goalpara,1110,10285.86,30,500.44,359,2374.79,9,111.76,0,0,9,111.76
Golaghat,2664,22718.36,150,3761.05,994,7681.7,36,371.76,3,41.42,36,371.76
Hailakandi,1009,7239.48,22,546.33,27,140.52,26,236.2,3,23.66,27,237.36
Hojai,1010,8877.79,72,1201.67,106,653.2,14,168.96,4,40.25,20,218.8
Jorhat,4964,44586.87,582,13964.62,1643,10113.11,70,906.88,4,53.05,76,975.38
Kamrup Metro,4007,33351.78,623,14493.53,3440,25172.76,91,1289.66,3,58.67,92,1303.42
Karbi Anglong,2531,24036.3,33,859.87,1463,13062.75,3,71.42,2,61.5,3,71.42
Karimganj,1280,7212.82,80,1965.02,292,1702.59,27,268.87,2,20.76,26,259.1
Kokrajhar,1201,12419.9,84,2520.24,438,4592.53,3,32.54,0,0,4,44.98
Lakhimpur,3597,30894.66,76,2570.51,910,6735.34,55,592.21,1,9.95,55,592.21
Majuli,260,1604.99,4,86,120,817.91,11,100.2,0,0,10,99.2
Morigaon,1710,11581.83,66,1176.94,787,4014.5,62,661.19,5,84.89,65,702.61
Nagaon,4294,35194.39,311,6579.24,1836,11432.15,60,645.7,6,107.04,62,677.36
Nalbari,2955,23551.89,185,3144.49,1033,6157.26,49,930.75,3,23.1,49,930.75
Sivasagar,2962,24776.35,267,6071.08,992,6640.43,42,654.97,4,64.1,42,654.97
Sonitpur,4100,36108.55,472,9726.17,1261,7699.55,57,687.68,1,5,60,728.13
South Salmara,251,2584.62,0,0,198,1053.19,0,0,0,0,0,0
Tinsukia,3227,28378.23,378,8839.89,1138,6900.67,71,847.35,7,126.46,72,859.73
Udalguri,1631,16346.53,1,24.23,719,4516.97,3,27.07,0,0,3,27.07
West Karbi Anglong,636,6506.65,0,0,699,6527.58,0,0,0,0,0,0
