district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,36041,469757,25262,102723,691727,73443,17017,155781
Barpeta,100668,1578715,64742,406185,2328900,285045,38888,545741
Biswanath,48555,320302,29162,118647,475637,81918,18629,185831
Bongaigaon,32636,384420,19553,130612,572941,95562,16390,179638
Cachar,84082,576543,55314,265613,966731,193300,26174,375869
Charaideo,23507,172296,13780,67438,264248,46428,7450,98395
Chirang,22222,260465,16450,57674,375590,46628,8420,88316
Darrang,58911,564310,38024,191800,899448,134803,16737,267448
Dhemaji,55912,325351,32530,190538,552690,127909,22511,268961
Dhubri,70281,774503,40344,344343,1302886,250665,23397,438021
Dibrugarh,114257,911510,81036,305563,1378927,235765,49182,469002
Dima Hasao,8323,76137,6278,25129,112899,20408,5879,39331
Goalpara,53252,724607,29724,226637,1094622,157471,21221,301110
Golaghat,78877,458406,49939,216504,724496,156235,29507,324888
Hailakandi,36937,352608,22065,112699,654935,82136,14367,164003
Hojai,47773,322776,26917,142298,547972,99917,11965,202036
Jorhat,77926,551669,49227,255214,853774,187731,35808,368948
KARIMGANJ,48594,423357,29582,146356,715223,110696,19044,213994
Kamrup,68420,818744,48535,218439,1238477,162759,29587,316446
Kamrup Metro,129738,1215045,97305,305383,1758044,235138,43015,478136
Karbi Anglong,35051,311111,23681,96225,425462,79379,25312,156588
Kokrajhar,39274,477396,27522,112804,782094,81414,9626,161704
Lakhimpur,80141,373044,46226,257392,622612,174128,27037,364570
Majuli,7521,81285,3906,24735,124729,17420,5004,37260
Morigaon,56575,473400,30867,153071,727735,113700,20008,229654
Nagaon,128970,968568,82667,388304,1674061,265892,46090,563364
Nalbari,41112,456955,28985,121219,686284,94027,12856,175187
Sivasagar,66308,300989,45400,165191,477404,122671,14946,246445
Sonitpur,110111,683348,68355,261880,1016817,174573,27121,399112
South Salmara,4465,149336,1790,42094,236301,28529,2392,48951
Tinsukia,101306,907759,60521,273306,1300379,192514,32802,407414
Udalguri,61708,569999,38437,149654,867336,102755,14102,225464
West Karbi Anglong,13613,117119,10196,34000,168693,27769,10340,57953
