District,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Baksa,3068,490.52,980,314.99,2006,3386.72,1113,1288.79,410,1078.29,54,114.88,5484,4955.53,2147,1718.66,34.68
Barpeta,16613,3497,2673,793.54,13978,13806.79,2017,3138.57,1361,5116.78,149,551.37,31952,22420.57,4839,4483.48,20
Biswanath,4158,1255.62,947,299.09,3588,3668.6,1007,714.46,296,1249.83,47,152.36,8042,6174.05,2001,1165.91,18.88
Bongaigaon,10606,1592.49,1434,328.42,6051,4597.13,1551,699.61,665,2848.18,45,121.57,17322,9037.8,3030,1149.6,12.72
Cachar,29826,8671.93,5291,1056.7,17378,24040.31,1929,1930.97,1132,5042.56,81,264.26,48336,37754.8,7301,3251.93,8.61
Charaideo,3278,524.9,578,205.68,1621,1787.16,1242,559.24,198,1007.81,22,47.26,5097,3319.87,1842,812.18,24.46
Chirang,2493,523.68,654,152.38,2690,2732.72,755,864.02,102,578.49,15,70.22,5285,3834.89,1424,1086.62,28.34
Darrang,7923,1699.48,1850,800.36,7149,7073.3,1685,2189.3,908,3271.44,198,549,15980,12044.22,3733,3538.66,29.38
Dhemaji,5426,1063.06,789,331.42,3941,4581.52,491,690.05,493,2545.19,58,262.69,9860,8189.77,1338,1284.16,15.68
Dhubri,15041,3401.23,3579,891.32,12025,11116.61,2514,2315.07,750,3632,131,335.57,27816,18149.84,6224,3541.96,19.52
Dibrugarh,19122,3444.09,5117,1151.97,12104,11956.99,5646,2930.86,1922,8826.61,336,884.72,33148,24227.69,11099,4967.55,20.5
Dima Hasao,716,124.39,100,28.99,902,1595.56,70,105.43,526,2153.32,16,44.89,2144,3873.27,186,179.31,4.63
Goalpara,8148,1829.41,2108,357.6,6240,4521.86,736,774.71,249,982.36,24,42.85,14637,7333.63,2868,1175.16,16.02
Golaghat,17376,3116.5,1941,543.47,9140,8409.21,2254,1303.08,1030,5823.71,151,640,27546,17349.42,4346,2486.55,14.33
Hailakandi,4935,1005.1,819,218.98,4184,5010.86,561,697.05,484,1797.81,40,86.55,9603,7813.77,1420,1002.58,12.83
Hojai,6097,2082.52,1012,271.54,4988,7300.62,763,1114.24,674,3635.99,110,341.55,11759,13019.13,1885,1727.33,13.27
Jorhat,21020,3333.39,1640,498.91,9359,9824.06,5442,2629.88,1542,6341.44,236,476.06,31921,19498.89,7318,3604.85,18.49
Kamrup Metro,26423,5199.91,3667,926.03,19407,15356.38,2345,2651.23,1919,6209.52,233,711.5,47749,26765.81,6245,4288.76,16.02
Karbi Anglong,2303,431.32,283,49.15,1483,2352.36,216,380.32,1282,5394.02,48,165.82,5068,8177.7,547,595.29,7.28
Karimganj,16689,3320.3,3763,661.56,10280,8687.13,1282,1305.81,579,3095.19,40,96.51,27548,15102.62,5085,2063.88,13.67
Kokrajhar,2354,697.22,833,228.5,2150,2831.85,923,1184.98,173,859.79,27,52.06,4677,4388.86,1783,1465.54,33.39
Lakhimpur,6537,1661.14,1563,513.65,6300,7248.86,1668,1802.05,691,3150.51,123,464.08,13528,12060.51,3354,2779.78,23.05
Majuli,1864,181.77,162,66.82,489,682.56,240,210.65,91,423.36,20,47,2444,1287.69,422,324.47,25.2
Morigaon,6620,1939.38,1468,695.63,6253,7739.87,893,1332.93,1372,5027.92,132,528.38,14245,14707.17,2493,2556.94,17.39
Nagaon,21832,4412.47,2549,1074.17,14037,12413.19,2844,3103.51,1919,8039.61,456,1918.57,37788,24865.27,5849,6096.25,24.52
Nalbari,12230,2172.05,1907,557.95,6324,6429.52,1779,1524.84,688,2185.65,74,229.3,19242,10787.22,3760,2312.09,21.43
Sivasagar,7256,1750.4,1319,431.7,6097,6297.32,2092,1595.29,940,3785.51,152,266.94,14293,11833.23,3563,2293.93,19.39
Sonitpur,14006,2558.43,1724,507.72,12320,10675.29,1995,1926.27,1299,5554.05,168,435.89,27625,18787.77,3887,2869.88,15.28
South Salmara,251,120.5,84,23.08,699,878.52,312,351.46,52,292.87,4,25.67,1002,1291.89,400,400.21,30.98
Tinsukia,11631,2188.82,1328,439.8,9361,10929.15,3518,2443.76,1420,7116.09,205,469.88,22412,20234.06,5051,3353.44,16.57
Udalguri,1798,502.66,906,312.7,2592,3465.7,1385,1729.17,126,796.87,12,61.12,4516,4765.23,2303,2102.99,44.13
West Karbi Anglong,329,43.42,89,14.07,176,284.71,30,41.14,298,1127.83,13,83.46,803,1455.96,132,138.67,9.52
