district,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activated
Baksa,1490,968.84,18670,11274.03,8022,3462,7,2.72,114,210.41,21,16,1,2.04,17,21.87,11,10
Barpeta,3326,1930.24,59279,33293.29,24611,13656,38,29.85,375,564.45,34,21,52,105.1,271,394.75,31,11
Biswanath,1902,1297.94,24740,14481.04,9886,4560,16,21.77,197,267.2,26,22,1,2.08,7,12.95,3,3
Bongaigaon,679,415.31,13569,7654.04,6467,3638,13,10.06,192,232.58,1,1,40,55.64,153,135.2,0,0
Cachar,2586,1473.59,47885,27398.54,27095,21847,42,36.74,1508,2045.14,5,2,63,84.64,425,371.94,96,77
Charaideo,286,154.38,9998,6031.32,5915,2363,17,10.39,211,296.18,0,0,22,24.36,85,71.94,3,3
Chirang,1756,1114.98,18078,10245.45,11285,7153,6,8.72,120,166.58,2,1,7,11.24,13,57.05,1,1
Darrang,1876,1189.81,37669,19823.01,18219,9628,51,56.1,307,390.43,3,2,124,124.26,482,373.45,24,17
Dhemaji,1005,611.84,24784,14722.42,12883,6392,21,16.02,420,478.5,24,11,14,10.33,78,88.08,14,10
Dhubri,391,277.2,27918,15639.57,15430,10155,12,13.27,513,742.37,17,12,21,155.22,42,310.25,0,0
Dibrugarh,2876,1614.43,72885,41735.52,35000,23919,31,27.59,754,1037.57,20,18,29,44.27,123,131.21,3,3
Dima Hasao,228,89.12,1942,668.26,847,824,6,3.88,74,60.08,44,40,0,0,5,3.09,3,2
Goalpara,2202,1051.6,24464,12119.76,15667,8662,7,6.8,394,452.13,1,1,70,103.28,445,351.8,7,5
Golaghat,2538,1666.54,59227,30287.05,27385,17937,26,28.4,525,768.17,9,4,14,26.85,37,46.75,4,3
Hailakandi,1148,628.62,17924,8937.01,10325,6034,11,8.83,399,498.74,1,0,8,20.26,30,49.64,1,1
Hojai,782,419.39,20335,11076.04,12656,9477,21,25.51,438,790.34,0,0,12,27.61,37,144,0,0
Jorhat,2024,1200.83,44472,21020.94,23748,18276,29,42.88,684,860.97,20,11,27,55.43,164,125.04,4,3
KARIMGANJ,1032,660.17,27845,15569.9,15747,13681,24,24.76,1151,1520.29,4,0,34,48.1,128,215.67,13,10
Kamrup,6463,3671.16,73342,38274.74,39731,26048,28,33.21,579,897.95,20,9,38,51.98,241,244.87,15,8
Kamrup Metro,1068,1318.97,10596,7231.62,6187,4820,19,119.46,298,858.71,3,1,65,111.54,355,411.11,10,9
Karbi Anglong,3446,1863.64,27501,13130.12,3745,2880,39,21.55,116,124.36,1,1,6,5.8,28,19.39,1,1
Kokrajhar,1155,648.13,23234,14022.19,10298,3611,4,3.41,151,178.61,0,0,39,15.25,86,66.85,0,0
Lakhimpur,2456,1321.4,59456,34030.48,24096,12995,49,65.44,969,1303.1,46,31,53,63.92,223,329.26,3,3
Majuli,183,143.03,4696,2303.31,2992,1715,3,2.75,47,93.71,0,0,16,22.87,76,63.53,10,10
Morigaon,1792,1061.12,38252,22634.44,22821,14245,26,24.6,1192,1426.83,7,7,23,35.01,215,196.76,26,9
Nagaon,2345,1688.48,92231,46397.18,39179,27689,59,75.46,1521,2128.1,78,70,288,100.46,639,1301.15,70,69
Nalbari,2650,1186.26,41144,16908.29,13583,7975,24,33.22,507,559.15,60,53,13,33.2,145,148.78,24,16
Sivasagar,1223,625.32,30025,13822.88,12642,7556,27,24.94,469,543.42,5,3,75,183.45,181,369.53,42,42
Sonitpur,2748,2026.36,32210,19377.98,16542,11178,24,38.3,488,677.03,51,50,24,48.9,131,298.15,4,3
South Salmara,18,7.63,2312,803.24,1370,1100,0,0,0,0,0,0,0,0,16,13.29,6,6
Tinsukia,3897,2891.5,54899,34544.65,25610,19785,38,39.08,924,1357.98,5,3,25,45.3,105,156.47,1,1
Udalguri,1830,1210.27,31738,20125.59,12402,6889,3,3.25,114,129.48,2,2,14,20.25,142,109.37,0,0
West Karbi Anglong,740,365.35,10367,3979.34,847,530,0,0,7,4.13,0,0,1,0.5,1,0.47,0,0
