district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,37326,16838.17,1749,2385.68
Barpeta,144554,66491.06,6490,7864.16
Biswanath,59753,26236.98,2546,2385.34
Bongaigaon,62937,35179.17,4373,5832.46
Cachar,194837,103235.08,12838,13323.95
Charaideo,21625,11725.12,1225,1748.84
Chirang,28478,15016.02,2402,1718.23
Darrang,90495,39570.4,3183,4240.88
Dhemaji,43426,27432.31,3415,4531.75
Dhubri,109397,54791.27,4453,4984.92
Dibrugarh,150679,98986.61,11219,15717.5
Dima Hasao,4706,9313.59,562,1683.1
Goalpara,63691,31361.8,2869,3132.5
Golaghat,136146,61404.78,7049,7490.4
Hailakandi,33054,18418.38,3631,3801.8
Hojai,60359,27656.86,2345,2362.1
Jorhat,149087,79809.82,8365,11169.88
Kamrup Metro,234655,117485.03,13597,17367.22
Karbi Anglong,38805,29664.07,6389,6421.19
Karimganj,96392,42628.32,8581,6907.02
Kokrajhar,37675,29021.85,3407,4576.1
Lakhimpur,115969,57373.71,6168,7263.89
Majuli,5690,2233.44,291,372.46
Morigaon,72325,32989.68,2969,3165.98
Nagaon,222773,105726.33,8616,10645.07
Nalbari,96718,41357.63,3822,4871.37
Sivasagar,109616,67480.77,7198,11576.71
Sonitpur,125945,71860.28,6190,9022.22
South Salmara,1017,1050.57,58,94.05
Tinsukia,94559,66830.77,7475,10191.31
Udalguri,32654,20154.83,2434,2677.3
West Karbi Anglong,6350,5774.62,583,663.93
