District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Minority Disb No.,Total Minority Disb Amt
Baksa,140,147.32,766.74,3,9.48,0,0,1,0,15,5,1196,928.54
Barpeta,61,116.25,12375.77,15,7.06,7,2.15,0,0,12,265.7,23375,12766.93
Biswanath,57,78.15,1064.68,5,7.37,5,21.45,1,1.6,40,77,2153,1250.25
Bongaigaon,323,388.08,6250.64,20,8.3,12,30.3,0,0,15,70.11,7439,6747.43
Cachar,849,951.97,13109.53,26,22.87,27,76.97,0,0,6,78.6,19365,14239.94
Charaideo,23,37.7,457.44,18,4,2,6.48,1,0,0,0,560,505.62
Chirang,157,48.79,692.05,7,2.55,0,0,0,0,0,0,1386,743.39
Darrang,63,106.46,4847.85,106,32.44,1,0,0,0,15,100.5,10587,5087.25
Dhemaji,25,37.69,110.14,5,23.12,5,30.2,0,0,0,0,201,201.15
Dhubri,52,59.62,8818.45,1,0.7,2,4.01,0,0,9,24.64,19139,8907.42
Dibrugarh,401,325.62,3267.45,98,121.01,152,222.07,0,0,20,106.97,3314,4043.12
Dima Hasao,1747,1017.21,194.86,1,0,3,0,0,0,0,0,1939,1212.07
Goalpara,394,187.61,4347.68,2,0.71,6,21.73,27,1.59,1,18,7850,4577.32
Golaghat,329,159.87,1860.38,162,72.25,16,6.29,1,0.8,7,187.64,4347,2287.23
Hailakandi,94,37.99,5472.87,1,8,2,3.5,0,0,1,0.45,9555,5522.81
Hojai,120,147.47,2382.7,16,9.67,11,1.8,1,1,0,0,7203,2542.64
Jorhat,244,246.47,1981.17,228,169.1,60,211.04,2,0.67,22,757.91,2531,3366.36
Kamrup Metro,218,223.72,7117.29,192,93.75,13,9.26,0,0,37,95.83,15867,7539.85
Karbi Anglong,968,628.19,381.11,42,25.81,3,0,0,0,5,10.74,1363,1045.85
Karimganj,134,116.29,5094.44,19,3.76,7,16.22,1,4,2,9,7707,5243.71
Kokrajhar,731,912.15,1969.01,2,0.36,5,10.7,0,0,0,0,3210,2892.22
Lakhimpur,236,252.08,3086.22,15,18.7,12,3.17,2,0.7,2,0.72,6307,3361.59
Majuli,2,4,22.14,1,0.39,0,0,0,0,0,0,25,26.53
Morigaon,36,34.86,1527.54,29,8.81,7,22.04,0,0,25,20,3508,1613.25
Nagaon,130,116.03,11565.11,60,30.99,68,106,1,0.5,24,52.83,32356,11871.46
Nalbari,17,28.57,3952.61,28,9.55,2,0,0,0,35,148.1,5212,4138.83
Sivasagar,103,104.19,5340.32,86,70.37,30,50.53,1,0,1,3.5,4281,5568.91
Sonitpur,412,496.9,3320.23,231,319.72,42,113.5,0,0,4,91.13,4696,4341.48
South Salmara,4,8,1057.62,0,0,0,0,0,0,0,0,1745,1065.62
Tinsukia,507,821.28,1231.5,292,451.11,167,982.12,0,0,30,60.78,2327,3546.79
Udalguri,2965,932.1,1485.4,0,0,1,0,0,0,0,0,5662,2417.5
West Karbi Anglong,109,115.21,36.34,1,1.43,0,0,0,0,0,0,144,152.98
