district,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,2679,2909.18,151,261.58,128,77.54,268,143.49,14,2.63,1292,1952.92,867,1111.46,4078,57986.15,1207,630.08,7,75.21,1,0.5
Barpeta,4083,3458.73,305,334.41,822,404.42,969,456.48,521,147.7,1866,3018.2,920,1454.7,6173,5159.61,2178,1252.78,54,752.8,4,90.88
Biswanath,3555,3613.77,676,588.6,226,197.39,56,66.17,1,0.42,339,437.91,173,225.89,5447,4654.1,2070,1104.62,26,429.4,0,0
Bongaigaon,1878,2046.33,232,123.59,40,24.55,93,86.5,14,6.8,688,787.32,421,530.32,2559,2704.68,286,136.23,66,832.93,7,54.18
Cachar,2390,2453.62,363,300.48,85,58.37,101,103.21,21,9.39,1745,2268.07,717,940.75,4636,3788.78,1268,759.48,61,710.26,3,24.79
Charaideo,1700,1792.78,185,114.78,123,53.56,13,10.89,0,0,394,577.88,172,294.63,2297,2123.98,334,190.59,29,285.11,0,0
Chirang,2025,2011.85,194,157.62,93,56.39,39,26.95,2,2.42,1495,1841.44,1190,1436.61,2676,2698.14,637,541,12,285.5,1,14.8
Darrang,2251,2649.97,286,331.82,205,216.08,147,113.73,10,1.41,953,1388.32,676,973.26,4029,3799.27,1473,1077.24,33,389.45,4,47.32
Dhemaji,2847,2781.21,386,301.48,219,81.97,13,20.78,0,0,867,1843.96,414,761.47,4029,3545.65,1040,479.28,12,160.74,1,9.57
Dhubri,3456,2841.35,459,250.53,492,138.47,406,203.95,350,154.06,1793,2351.54,1035,1119.68,4903,3547.26,1626,682.36,30,548.8,1,8.78
Dibrugarh,4270,4493.54,517,534.28,283,112.01,343,949.97,54,27.64,1523,2700.6,672,995.02,5888,5465.05,623,279.11,143,2084.63,11,174.76
Dima Hasao,232,94.01,117,141.74,6,4.96,15,17.12,0,0,220,318.25,59,56.3,642,498.46,152,49.81,14,103.54,0,0
Goalpara,2703,2532.06,347,372.91,204,87.69,39,45.13,6,4.22,1076,1234.5,646,795.24,4386,3425.48,1160,569.97,16,135.6,2,13.32
Golaghat,3727,4594.72,545,498.4,107,86.55,138,178.97,11,9.02,1248,1709.12,571,825.67,5627,6260.55,693,380.54,54,759.63,1,8.83
Hailakandi,1566,1197.3,204,112.47,141,44.4,211,100.47,17,9.91,773,1076.8,370,488.1,2252,1578.34,718,328.82,11,207.78,2,41.51
Hojai,2097,2005.26,227,140.35,111,60.59,271,149.95,0,0,676,855.51,192,216.51,2793,2526.15,370,185.56,16,139.39,0,0
Jorhat,3133,3965.46,329,345.02,49,38.62,190,464.66,7,4.85,1041,1472.13,442,558.3,4603,5036.05,613,442.15,66,799.54,6,52.04
Kamrup Metro,5015,5403.16,478,354.1,562,482.78,266,194.53,24,14.09,1606,2042.38,906,1107.04,7062,6565.35,1995,1279.5,50,531.97,6,82.01
Karbi Anglong,83,73.78,665,616.28,6,3.92,4,8.56,1,2.08,350,368.32,166,105.88,2820,1966.14,932,294.08,19,375.31,1,5.31
Karimganj,1679,1522.77,218,165.56,128,48.88,207,212.46,57,14.99,851,1220.08,271,351.43,3178,2179.98,1357,602.6,17,200.07,1,8.89
Kokrajhar,1760,1572.83,212,85.12,111,59.96,207,270.76,19,24.23,1901,2324.66,1508,1817.1,2588,2456.32,780,691.41,15,298.92,0,0
Lakhimpur,4476,4752.22,533,482.31,340,200.17,120,183.62,9,5.77,1205,2138.37,538,913.36,6002,5715.09,955,678.77,46,657.04,8,70.6
Majuli,727,831.17,87,74.24,46,31.4,2,0.26,0,0,178,198.63,80,84.34,1024,939.7,268,127.12,5,47.08,1,7.62
Morigaon,2720,2452.48,212,232.89,478,271.15,604,402.45,146,33.64,839,1214.33,468,644.65,4887,3664.41,2187,1138.98,22,187.04,2,13.53
Nagaon,5613,6356.16,570,514.08,354,165.44,138,156.76,22,9.16,1740,2839.82,846,1241.9,7592,7976.85,1320,792.69,83,976.53,9,64.21
Nalbari,3691,4750.33,160,195.61,193,129.47,225,265.63,25,17.93,1143,1967.62,742,1225.06,5580,6508.29,1094,587.48,27,378.34,0,0
Sivasagar,2466,2907.77,215,165.61,138,57.34,141,209.18,9,7.51,899,1754.13,352,613.77,3776,4034.96,491,347.36,43,585.34,7,106.39
Sonitpur,4538,4721.93,344,299.52,392,195.46,147,290.99,13,10.75,1303,2398.23,578,872.53,6158,5241.34,2089,1066.39,125,1563.14,8,65.34
South Salmara,408,265.89,52,48.47,142,32.16,0,0,0,0,388,433.79,338,375.68,435,271.35,180,60.12,0,0,0,0
Tinsukia,4350,4819.31,444,493.34,247,138.03,695,511.49,118,77.38,1379,2151.91,574,769.89,5325,5059.57,692,351.67,84,1141.92,2,10.94
Udalguri,1925,2092.5,207,140.14,131,104.09,53,17.85,5,0.77,1794,2740.86,1454,2317.35,3050,2782.38,974,670.9,10,155.11,1,0.57
West Karbi Anglong,93,133.29,317,277.09,1,0.69,57,82.01,0,0,16,14.43,12,10.21,2099,1088.26,1175,322.07,1,18.35,0,0
