District,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,10,213873,181851,21637,9155
Barpeta,13,640159,528171,78102,26976
Biswanath,4,129235,111987,17966,11195
Bongaigaon,4,190889,162287,30087,5464
Cachar,7,295252,219683,83748,14355
Charaideo,2,67464,55566,6926,4193
Chirang,3,88702,75399,8322,7640
Darrang,8,251923,214466,31809,16578
Dhemaji,8,298623,284981,20394,10164
Dhubri,7,473483,446432,45593,13095
Dibrugarh,15,286926,252475,80256,24519
Dima Hasao,5,24337,17634,58868,229
Goalpara,11,245547,220664,26100,13715
Golaghat,16,207891,185143,52905,20150
Hailakandi,10,156174,124233,26515,7911
Hojai,7,232963,200948,76044,8992
Jorhat,15,180460,135027,44066,20879
Kamrup Metro,27,380780,302930,55656,27640
Karbi Anglong,2,109079,74040,20816,4597
Karimganj,12,170749,154617,29050,3946
Kokrajhar,2,232052,216063,18520,11472
Lakhimpur,3,309847,295425,31917,16242
Majuli,2,30135,25568,5134,2869
Morigaon,12,141417,101908,38739,13976
Nagaon,30,532730,473561,243047,23557
Nalbari,14,149892,120987,47090,13474
Sivasagar,4,132633,121096,26465,9775
Sonitpur,5,301412,247274,94011,15337
South Salmara,0,92206,89699,4394,1644
Tinsukia,16,247219,168933,82306,24434
Udalguri,13,253836,234866,10812,14435
West Karbi Anglong,0,30869,29909,5687,794
