district,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,7,6,14.53,14.43,8,6,10.31,9.2,68,23,174.52,79.48
Barpeta,26,14,61.61,34.83,92,36,264.56,90.36,393,127,1266.35,361.16
Biswanath,8,4,20.95,4.02,36,20,84.24,41.68,137,59,394.34,178.72
Bongaigaon,12,5,77.23,35.58,30,8,118.38,40.53,129,38,560.65,188.44
Cachar,53,17,108.43,29.73,306,63,960.16,171.83,1010,213,2934.62,600.09
Charaideo,2,1,3.47,3.39,13,5,48.08,19.32,71,23,213.19,81.78
Chirang,1,1,1.71,1.71,8,2,54.6,5.31,52,9,181.94,24.16
Darrang,16,5,24.05,10.36,86,26,287.32,75.23,324,122,899.65,343.7
Dhemaji,9,5,20.14,9.9,36,16,108.83,40.5,150,54,374.48,150.29
Dhubri,12,3,23.3,2.55,60,14,258.3,65.23,197,37,656.85,140.43
Dibrugarh,38,26,178.3,141.13,198,84,675.08,294.75,837,318,2984.31,1162.94
Dima Hasao,1,0,0.97,0,4,0,10.4,0,23,8,63.68,28.15
Goalpara,6,2,25.76,15.6,24,5,115.92,19.9,124,31,465.1,119.83
Golaghat,18,12,43.71,27.06,99,41,414.5,216.66,317,115,1070.9,416.92
Hailakandi,3,2,2.93,0.78,10,6,26.21,18.94,93,24,200.65,65.8
Hojai,8,1,24.04,7.55,28,8,104.65,22.19,129,33,376.17,95.29
Jorhat,36,20,156.9,89.13,209,92,1042.23,437.42,713,297,2823.66,1245.29
Kamrup Metro,68,34,165.65,101.41,458,115,1786.87,464.83,1082,250,3345.69,828.18
Karbi Anglong,8,5,9.73,4.74,28,13,69.82,24.12,109,39,298.57,108.3
Karimganj,3,0,7.58,0,14,3,51.08,7.45,98,27,287.19,77.76
Kokrajhar,11,3,50.53,14.88,22,5,85.58,22.95,91,20,267.07,70.23
Lakhimpur,29,18,131.45,105.53,87,39,205.87,88.52,298,114,807.5,302.62
Majuli,1,0,0.7,0,9,1,18.91,1.63,40,6,74.7,13.93
Morigaon,4,0,22.25,7.5,15,5,51.04,17.26,120,38,371.29,131.07
Nagaon,9,5,36.84,30.7,73,19,221.33,63.84,314,90,1054.64,304.58
Nalbari,7,2,6.82,1.42,76,30,344.92,149.84,313,90,1108.51,388.1
Sivasagar,21,11,100.73,16.97,72,32,252.97,102.32,299,122,898.14,340.11
Sonitpur,28,11,172.32,29.21,122,48,500.29,177.06,434,148,1363.61,510.8
South Salmara,1,0,2.36,0,3,0,6.52,0,17,2,51.79,6.25
Tinsukia,36,13,118.88,32.27,165,63,553.72,186.07,547,179,1881.32,543.68
Udalguri,17,11,24.23,16.45,66,45,162.19,88.63,214,123,558.63,292.56
West Karbi Anglong,1,0,3.13,0,3,0,15.02,0,18,4,51.63,13.19
