District,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Baksa,5154,2407.5,7568,4404.62,166,158.78,146,47.1,13034,7018
Barpeta,16554,8371.56,23659,9277.5,448,278.35,810,523.61,41471,18451.02
Biswanath,6089,3253.69,11209,4510.7,304,141.47,883,776.67,18485,8682.53
Bongaigaon,2539,1110.18,5328,1725.4,260,117.02,540,324.48,8667,3277.08
Cachar,15115,8196.14,14499,6846.57,572,395.62,2483,2355.16,32669,17793.49
Charaideo,1331,773.79,3232,1548.56,47,58.66,402,178.05,5012,2559.06
Chirang,4527,2132.06,3727,2419.43,1184,591.2,364,180.73,9802,5323.42
Darrang,11359,5727.37,17914,8101.28,218,125.4,784,504.65,30275,14458.7
Dhemaji,7041,3564.36,4447,2459.77,43,44.84,356,244.15,11887,6313.12
Dhubri,12378,6023.51,19105,9177.23,4273,2189.87,2353,1180.89,38109,18571.5
Dibrugarh,29573,16397.25,25929,7971.19,442,396.86,2128,1867.31,58072,26632.61
Dima Hasao,709,151.95,401,223.95,1,2,20,19.35,1131,397.25
Goalpara,7575,3227.16,6470,4415.41,432,206.56,200,188.4,14677,8037.53
Golaghat,22643,9426.22,32544,11324.24,1925,958.37,963,915.71,58075,22624.54
Hailakandi,6007,2823.2,3456,1576.79,52,46.5,272,225.95,9787,4672.44
Hojai,6758,3473.12,10534,4772.58,1372,777.64,1992,1160.84,20656,10184.18
Jorhat,18136,7667.81,20201,7664.7,2064,973.62,1161,2136.87,41562,18443
Kamrup Metro,23199,12360.62,18426,7425.44,331,198.84,548,685.03,42504,20669.93
Karbi Anglong,6820,3080.46,2432,972.13,2,3,24,32.19,9278,4087.78
Karimganj,5638,2929.24,13241,5673.13,233,157.17,2025,1474.23,21137,10233.77
Kokrajhar,5161,2416.45,4565,2653.06,1906,881.04,633,249.27,12265,6199.82
Lakhimpur,16539,9752.49,16617,5887.52,356,225.64,933,704.52,34445,16570.17
Majuli,1735,752.24,1070,851.44,29,9.29,60,43.68,2894,1656.65
Morigaon,7773,4313.85,21098,10138.48,1307,643.07,1944,1486.86,32122,16582.26
Nagaon,32497,14293.5,44235,16974.65,2019,1077.36,4116,2384.56,82867,34730.07
Nalbari,10232,4516.42,16905,5293.08,291,176.91,357,239.52,27785,10225.93
Sivasagar,8636,3700.66,20415,6945.8,125,82.97,1985,1042.17,31161,11771.6
Sonitpur,7399,4109.53,17741,7729.52,1276,654.67,1343,732.11,27759,13225.83
South Salmara,1338,427.75,342,469.62,0,0,0,0,1680,897.37
Tinsukia,16068,10053.87,14427,4475.67,234,420.91,1241,905.84,31970,15856.29
Udalguri,16032,10247.84,8057,4735.68,111,51.92,169,184.28,24369,15219.72
West Karbi Anglong,1622,750.23,1447,480.47,1,0,3,0.66,3073,1231.36
