District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Baksa,506164,69,194972,314487,509459,47551,13649.87,344104,200230,32295
Barpeta,995230,355149,609976,807057,1417033,178931,88587,928906,579225,80318
Biswanath,291753,40096,147650,221147,368797,17975,11885.76,184143,118655,12455
Bongaigaon,237326,132349,153131,222672,375803,32991,13127.76,304152,177939,18844
Cachar,694408,305903,454031,533384,987415,71446,48424.78,625711,441544,50315
Charaideo,218588,60033,112766,165391,278157,13419,10645.72,161800,106232,3974
Chirang,227736,14278,120409,185206,305615,39067,6623.05,181751,103366,11226
Darrang,644800,202846,357409,500702,858111,64668,28227.47,431067,259282,25867
Dhemaji,476488,114115,279420,370695,650115,34091,15418.25,420895,302044,16450
Dhubri,1101881,260901,603918,836795,1440713,194612,37088.8,795414,525807,45003
Dibrugarh,400162,169194,266790,377177,643967,60077,34614.97,442948,307646,22203
Dima Hasao,31060,11857,18755,25593,44348,923,1900.09,29126,19315,2947
Goalpara,427982,194093,266899,400671,667570,72891,14237.54,403430,253489,26221
Golaghat,466010,105903,250428,363650,614078,46351,25598.81,359243,247209,32793
Hailakandi,313524,123993,200825,245213,446038,45850,29432.68,258927,182047,23925
Hojai,317464,259062,255833,340824,596657,45860,31290.98,431907,308242,50988
Jorhat,250068,205373,197814,271602,469416,39355,32842.38,312071,230760,16364
Kamrup Metro,727483,91217,369460,512374,881834,80941,31567.06,650148,367748,41695
Karbi Anglong,118320,35875,66527,90462,156989,8302,3873.66,89582,50221,14011
Karimganj,558318,66646,289946,345105,635051,59045,31335.91,365673,272115,33188
Kokrajhar,503428,84867,260251,348522,608773,79494,21366.81,352479,215875,27479
Lakhimpur,505729,218315,329088,431868,760956,40588,27855.31,539121,385337,26798
Majuli,118736,16432,59501,75618,135119,6473,4859.71,67895,55807,4033
Morigaon,433035,221673,294705,387260,681965,52626,42101.43,470038,296829,43175
Nagaon,1065713,415817,653449,863661,1517110,175875,48620.77,907051,557645,203869
Nalbari,340266,94148,182033,266023,448056,48954,18790.18,242665,149088,35040
Sivasagar,258811,67943,143269,195610,338879,18096,20680.87,254557,168316,11677
Sonitpur,521539,188219,294252,443148,737400,39965,23285.49,427871,280362,59058
South Salmara,226266,21114,94249,153142,247391,36952,2392.33,112274,87734,16137
Tinsukia,380336,253258,292981,393240,686221,65025,64954.88,429947,335684,28650
Udalguri,516546,105289,255998,371200,627198,48239,12739.64,354069,235678,10511
West Karbi Anglong,73876,0,29802,45134,74936,3811,4540.72,37342,24400,7085
