District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zorastrians No.,Zorastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,198,352.66,,6937.06,15,38.51,0,0,1,1.46,23,22.39,10464,7352.08
Barpeta,180,393.52,,90099.51,46,51.39,14,69.65,3,3.51,36,472.46,112994,91090.04
Biswanath,538,499.23,,8641.39,20,35.9,8,55.42,5,3.93,14,140.5,15991,9376.37
Bongaigaon,1778,1293.43,,31589.43,72,66.44,20,69.75,1,1.29,20,110.97,46733,33131.31
Cachar,2320,3835.42,,88984.18,43,88.93,36,141.15,4,1.09,23,211.77,116891,93262.54
Charaideo,179,139.82,,1850.44,74,75.69,14,29.45,3,5.13,6,0.94,3281,2101.47
Chirang,3253,2229.22,,7039.22,82,42.87,0,0,4,3.87,4,1.67,14838,9316.85
Darrang,303,450.77,,48292.29,57,99.85,4,8.31,1,0.12,22,289.95,73926,49141.29
Dhemaji,109,139.01,,923.9,9,22.66,18,66.94,0,0,2,5.08,1591,1157.59
Dhubri,613,761.01,,80821.07,17,14.05,15,82.78,2,1.14,22,144.87,104819,81824.92
Dibrugarh,1476,2875.04,,17316.1,196,683.22,289,1221.81,7,6.13,43,421.81,17601,22524.11
Dima Hasao,2099,5442.7,,1006.19,3,4.71,7,18.07,0,0,0,0,2698,6471.67
Goalpara,6224,3596.87,,38235.92,20,10.12,14,38.02,14,10.12,12,47,53108,41938.05
Golaghat,1916,1181.81,,11872.7,350,262.56,67,124.13,6,2.93,28,120.88,23477,13565.01
Hailakandi,222,358.79,,32127.38,5,16.86,6,7.49,0,0,1,0.42,36054,32510.94
Hojai,297,465.39,,26391.06,15,50.61,26,43.19,1,1,1,0.2,37601,26951.45
Jorhat,1657,3445.93,,12450.77,617,629.18,119,553.39,3,2.62,48,996.15,17639,18078.04
Kamrup Metro,1742,1237.06,,62489.28,523,307.2,76,342.6,0,0,44,804.53,93381,65180.67
Karbi Anglong,3597,3441.4,,1663.11,69,196.49,7,17.07,1,0.14,7,25.33,4948,5343.54
Karimganj,890,626.96,,35001.35,20,24.1,24,73.71,1,3.97,7,16.87,54610,35746.96
Kokrajhar,4878,3626.89,,14426.04,5,2.78,15,56.17,2,36.87,9,50.41,26453,18199.16
Lakhimpur,1464,1015.97,,21184.65,43,99.93,37,48.18,24,15.27,4,5.49,34841,22369.49
Majuli,9,6.4,,378.59,1,0.39,0,0,0,0,0,0,643,385.38
Morigaon,108,155.87,,25573.27,16,43.66,10,32.39,1,0.23,4,19.95,45250,25825.37
Nagaon,981,1010.64,,97314.61,254,148.55,143,321.15,33,13.05,36,114.78,159264,98922.78
Nalbari,89,112.2,,28067.54,40,37.03,28,29.09,3,2.2,21,533.76,40376,28781.82
Sivasagar,700,809.37,,23016.55,199,194.76,54,118.98,1,2.42,13,51.39,21967,24193.47
Sonitpur,1756,3149.9,,28205.27,187,782.02,79,308.39,3,0.74,27,209.7,47861,32656.02
South Salmara,11,7.98,,7887.19,0,0,0,0,0,0,0,0,5064,7895.17
Tinsukia,1648,3919.95,,9714.07,490,1257.56,180,1735.3,2,0.78,38,399.18,12744,17026.84
Udalguri,5981,8223.71,,8083.39,17,7.19,5,4.52,5,2.98,5,1.68,12791,16323.47
West Karbi Anglong,484,800.22,,124.79,2,1.53,5,1.65,1,0.31,0,0,533,928.5
