District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Baksa,0,0,67,171.61,1036,8599.5,0,0,91,27.39,6360,1906,7554,10704.5
Barpeta,0,0,390,1156.28,3536,33356.38,3,464.37,533,260.83,38861,12464.78,43323,47702.64
Biswanath,0,0,137,373.97,311,2021.18,0,0,0,0,16701,7834.09,17149,10229.24
Bongaigaon,0,0,132,532.78,2234,19522.49,2,55,122,59.41,25561,8027.76,28051,28197.44
Cachar,0,0,1012,2879.28,4193,29060.92,1,0.74,15,4.67,73705,25398.51,78926,57344.12
Charaideo,0,0,71,204.07,407,3443.89,0,0,66,25.4,4500,3073.87,5044,6747.23
Chirang,0,0,52,168.1,392,4170.8,0,0,147,81.65,7372,2429.25,7963,6849.8
Darrang,0,0,322,883.32,1711,14937.52,0,0,59,29.94,24889,8036.88,26981,23887.66
Dhemaji,0,0,150,370.99,1763,16473.3,1,95,29,8.22,6999,2213.72,8942,19161.23
Dhubri,0,0,196,631.66,2529,22657.37,4,13.26,222,123,35639,12413.5,38590,35838.79
Dibrugarh,0,0,844,2689.7,5277,49330.91,3,7.55,22,8,33313,14442.86,39459,66479.02
Dima Hasao,0,0,23,63.77,793,4542.21,1,0.57,0,0,45,102,862,4708.55
Goalpara,0,0,122,456.57,1114,10334.85,1,0.06,490,318.65,17218,5873.78,18945,16983.91
Golaghat,0,0,316,929.19,2642,22756.12,3,33.46,7,2,25321,8087.25,28289,31808.02
Hailakandi,0,0,88,196.36,1021,7310.55,1,2,26,13.42,13873,4928.47,15009,12450.8
Hojai,0,0,129,370.96,1006,8820.44,1,1.19,0,0,14437,17029.7,15573,26222.29
Jorhat,0,0,714,2386.82,5062,44845.23,2,96.26,0,0,32586,11009.57,38364,58337.88
Kamrup Metro,0,0,1087,3353.73,4368,37478.14,8,28.39,24,28.64,94673,27233.81,100160,68122.71
Karbi Anglong,0,0,109,287.04,2538,24122.53,0,0,0,0,3319,1097.57,5966,25507.14
Karimganj,0,0,97,280.23,1289,7253.56,5,27.86,15,2.92,37156,16520.66,38562,24085.23
Kokrajhar,0,0,91,267.04,1202,12422.45,1,800,58,41.53,13870,4443.65,15222,17974.67
Lakhimpur,0,0,301,801.05,3630,31221.59,1,5.49,112,47.04,19597,13417.76,23641,45492.93
Majuli,0,0,40,74.7,180,739.79,0,0,0,0,1428,6925.64,1648,7740.13
Morigaon,0,0,121,374.03,1727,12337.05,1,0.41,30,12.09,10472,17122.91,12351,29846.49
Nagaon,0,0,316,1043.63,4318,34842.8,1,13.66,3,1.94,46721,22400.46,51359,58302.49
Nalbari,0,0,314,1029.67,2984,23964.96,3,39.15,8,4.02,27276,9854.47,30585,34892.27
Sivasagar,0,0,300,793.96,2964,24896.46,3,1.6,20,7.62,20048,8846.43,23335,34546.07
Sonitpur,0,0,439,1292.68,5240,47245.2,3,1.8,5,3.32,32964,21483.96,38651,70026.96
South Salmara,0,0,17,51.79,147,1568.62,0,0,9,6.04,243,427.38,416,2053.83
Tinsukia,0,0,553,1751.85,3263,28686.31,1,0,26,7.14,22628,10562.12,26471,41007.42
Udalguri,0,0,212,524.54,1631,16346.54,0,0,0,0,7184,2695.54,9027,19566.62
West Karbi Anglong,0,0,18,51.47,636,6506.65,0,0,9,0.78,14,3.93,677,6562.83
