district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,829102,52929,40197
Barpeta,2261242,124192,131748
Biswanath,688726,29566,55857
Bongaigaon,780298,35663,91726
Cachar,1942642,97412,522336
Charaideo,412045,4131,33715
Chirang,461982,24160,37091
Darrang,1306015,49574,114704
Dhemaji,1002669,31286,125376
Dhubri,2096817,59988,292426
Dibrugarh,1636022,71467,269930
Dima Hasao,192334,22687,38712
Goalpara,1122771,52817,89130
Golaghat,1389441,78588,320308
Hailakandi,789037,37214,197295
Hojai,885116,66448,198559
Jorhat,1283001,51597,351904
KARIMGANJ,1272454,63127,356654
Kamrup,1962769,127394,156256
Kamrup Metro,2502383,286993,380760
Karbi Anglong,581368,39067,29888
Kokrajhar,942744,33719,49335
Lakhimpur,1253486,50705,242802
Majuli,171414,9509,25854
Morigaon,1279704,69861,455775
Nagaon,2691901,311128,680141
Nalbari,988428,79508,73423
Sivasagar,1024967,40310,283830
Sonitpur,1468785,135818,206678
South Salmara,301012,21154,22975
Tinsukia,1406711,73024,368826
Udalguri,939872,34289,38555
West Karbi Anglong,212140,7942,6772
