district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,187,52.3,316,436.12,39,166.39,542,654.81
Barpeta,392,150.45,1364,1561.54,176,997.66,1932,2709.65
Biswanath,146,38.12,432,532.65,69,337.39,647,908.16
Bongaigaon,634,195.46,809,893,137,787.38,1580,1875.84
Cachar,513,194.91,888,1319.58,165,1009.06,1566,2523.55
Charaideo,91,35.98,95,125.35,30,189.84,216,351.17
Chirang,128,36.99,109,125.21,27,121.42,264,283.62
Darrang,314,78.93,714,912,123,832.01,1151,1822.94
Dhemaji,238,59.64,398,539.09,91,481.65,727,1080.38
Dhubri,265,66.63,761,873.46,109,574.63,1135,1514.72
Dibrugarh,613,169.82,1485,1473.08,387,2242.46,2485,3885.36
Dima Hasao,163,30.45,52,82.95,10,30.89,225,144.29
Goalpara,156,49.11,695,594.03,40,271.8,891,914.94
Golaghat,330,108.33,656,671.93,141,875.18,1127,1655.44
Hailakandi,186,67.5,453,646.9,44,195.45,683,909.85
Hojai,218,78.76,321,560.79,111,719.04,650,1358.59
Jorhat,448,152.02,850,1213.04,213,1199.06,1511,2564.12
Kamrup Metro,751,261.12,1795,1600.71,181,988.17,2727,2850
Karbi Anglong,240,59.29,168,238.12,52,319.06,460,616.47
Karimganj,368,140.74,816,777.21,108,722.53,1292,1640.48
Kokrajhar,132,39.15,209,284.94,46,305.91,387,630
Lakhimpur,498,117.54,871,921.43,186,870.39,1555,1909.36
Majuli,38,14.24,74,147.25,20,153.61,132,315.1
Morigaon,168,76.51,381,555.93,55,348.63,604,981.07
Nagaon,541,194.48,2044,1063.52,175,1015.25,2760,2273.25
Nalbari,286,87.39,489,575.51,68,410.93,843,1073.83
Sivasagar,375,111.28,627,776.24,134,777.84,1136,1665.36
Sonitpur,760,251.74,1482,1083.69,216,1242.7,2458,2578.13
South Salmara,3,1.2,95,102.79,11,81.31,109,185.3
Tinsukia,580,144.4,1151,1492.16,411,2261.5,2142,3898.06
Udalguri,150,11.92,334,324.93,39,268.58,523,605.43
West Karbi Anglong,47,11.75,11,22.62,4,26.11,62,60.48
